Voc (V),-HOMO (eV),-LUMO (eV),bandgap(eV),HOMO(eV),LUMO(eV),HOMO-LUMO(eV),X,Y,Z,Tot,E(t-s)(eV),S1,S2,S3,S4,S5,DH,DL,DT1,DS1,DST,Eb,t_DL,t_DH
0.66,5.22,3.44,1.63,-4.85206,-2.70644,2.14562,-5.3117,1.3076,-0.097,5.4712,1.43668,1.8414,2.1742,2.3409,2.4757,2.5089,1.1279400000000006,0.53356,-0.46531999999999996,-0.21860000000000013,0.40471999999999997,0.30422000000000016,0.5865132614360937,0.3236993908133381
0.9,5.5,3.68,1.8,-4.81097,-2.70617,2.1048,1.4526,-0.0662,0.0434,1.4548,1.41793,1.8095,2.0503,2.2561,2.3957,2.7776,1.1690300000000002,0.53383,-0.48407,-0.25049999999999994,0.3915700000000002,0.2952999999999999,0.5863549242319905,0.310668143257862
0.76,5.4,3.37,2.03,-4.80607,-1.38615,3.41993,0.5016,-0.2027,-0.5203,0.7506,2.61804,3.0036,3.1604,3.2213,3.4093,3.4933,1.1739300000000004,1.8538500000000002,0.7160400000000002,0.9436,0.3855599999999999,0.41632999999999987,0.1566329670532082,0.3091495928427805
0.64,5.22,3.26,1.96,-4.88825,-2.08249,2.80577,1.0914,0.1926,-0.1481,1.1181,1.94067,2.4963,2.8398,2.9669,3.0302,3.0983,1.0917500000000002,1.1575100000000003,0.03866999999999998,0.43630000000000013,0.5556300000000003,0.3094699999999997,0.3142677341029533,0.33562862937406546
0.94,5.48,3.66,1.82,-4.79601,-2.65583,2.14018,0.6902,-0.0929,-0.1675,0.7163,1.40595,1.8349,2.1181,2.2936,2.4859,2.7831,1.1839900000000005,0.5841700000000003,-0.4960499999999999,-0.22510000000000008,0.42894999999999994,0.30528,0.557568451625694,0.3060551391383592
0.73,5.42,3.51,1.75,-5.13125,-2.81148,2.31977,-2.2225,-0.6086,-2.5909,3.4674,1.61715,2.0088,2.2191,2.3352,2.5702,2.6057,0.8487500000000008,0.42852000000000023,-0.2848499999999998,-0.051200000000000134,0.39164999999999983,0.3109700000000002,0.6514725609726667,0.4279495346707538
0.73,5.37,3.47,1.9,-5.0888,-2.42617,2.66263,-7.1019,1.2698,-0.4034,7.2258,1.86338,2.3323,2.6063,2.6573,2.8947,2.9542,0.8912000000000004,0.8138300000000003,-0.03861999999999988,0.2723,0.46892,0.33033,0.4431575184570421,0.4101632614029511
0.62,5.32,3.5,1.68,-4.71736,-2.63297,2.08439,-0.3213,0.0391,-0.23,0.3971,1.39242,1.7862,2.0293,2.2247,2.3826,2.5351,1.2626400000000002,0.6070300000000004,-0.5095799999999999,-0.27380000000000004,0.39378,0.29818999999999996,0.5449670199517115,0.282906167478076
0.68,5.26,3.61,1.38,-4.71845,-2.83407,1.88439,2.2702,0.2753,0.1799,2.2939,1.22625,1.6586,1.9216,2.1676,2.4449,2.7692,1.2615500000000006,0.4059300000000001,-0.6757499999999999,-0.4014,0.43235,0.22578999999999994,0.6663568107691039,0.2832147033221144
0.9,5.52,3.24,1.88,-5.02676,-2.55188,2.47488,-1.0201,1.0231,-2.0808,2.5331,1.75176,2.0678,2.3057,2.4303,2.7085,2.8319,0.9532400000000001,0.6881200000000001,-0.15023999999999993,0.007800000000000029,0.3160400000000001,0.4070800000000001,0.5025199190168582,0.38549001027424673
