Nickname,bandgap(eV),c_smiles,newSMILES
PTB6,1.61,CCCCCCC(CCCC)COC(=O)c1cc2c(C)sc(-c3cc4c(OCC(CC)CCCC)c5sc(C)cc5c(OCC(CC)CCCC)c4s3)c2s1,COC(=O)c1cc2c(C)sc(-c3cc4c(OC)c5sc(cc5c(OC)c4s3)-c3sc(-c4cc5c(OC)c6sc(C)cc6c(OC)c5s4)c4sc(cc34)C(=O)OC)c2s1
PDTP-DTDPP(Bu),1.13,CCCCC(CC)CC(C[C@H](CC)CCCC)n1c2cc(C)sc2c2sc(-c3ccc(C4=C5C(=O)N(CCCC)C(c6ccc(C)s6)=C5C(=O)N4CCCC)s3)cc21,CN1C(=O)C2=C(N(C)C(=O)C2=C1c1ccc(C)s1)c1ccc(s1)-c1cc2n(C)c3cc(sc3c2s1)-c1ccc(s1)C1=C2C(=O)N(C)C(=C2C(=O)N1C)c1ccc(s1)-c1cc2n(C)c3cc(C)sc3c2s1
PBDTTT-EFT,1.58,CCCCC(CC)COC(=O)c1sc2c(-c3cc4c(-c5ccc(CC(CC)CCCC)s5)c5sc(C)cc5c(-c5ccc(CC(CC)CCCC)s5)c4s3)sc(C)c2c1F,COC(=O)c1sc2c(sc(C)c2c1F)-c1cc2c(-c3cccs3)c3sc(cc3c(-c3cccs3)c2s1)-c1sc(-c2cc3c(-c4cccs4)c4sc(C)cc4c(-c4cccs4)c3s2)c2sc(C(=O)OC)c(F)c12
PTB1,1.58,CCCCCCCCCCCCOC(=O)c1cc2c(C)sc(-c3cc4c(OCCCCCCCC)c5sc(C)cc5c(OCCCCCCCC)c4s3)c2s1,COC(=O)c1cc2c(C)sc(-c3cc4c(OC)c5sc(cc5c(OC)c4s3)-c3sc(-c4cc5c(OC)c6sc(C)cc6c(OC)c5s4)c4sc(cc34)C(=O)OC)c2s1
PBDTTT-EFF,1.55,CCCCC(CC)COC(=O)c1sc2c(-c3cc4c(-c5ccc(CC(CC)CCCC)o5)c5sc(C)cc5c(-c5ccc(CC(CC)CCCC)o5)c4s3)sc(C)c2c1F,COC(=O)c1sc2c(sc(C)c2c1F)-c1cc2c(-c3ccco3)c3sc(cc3c(-c3ccco3)c2s1)-c1sc(-c2cc3c(-c4ccco4)c4sc(C)cc4c(-c4ccco4)c3s2)c2sc(C(=O)OC)c(F)c12
PBDTTT-E-T,1.58,CCCCC(CC)COC(=O)c1cc2c(C)sc(-c3cc4c(-c5ccc(CC(CC)CCCC)s5)c5sc(C)cc5c(-c5ccc(CC(CC)CCCC)s5)c4s3)c2s1,COC(=O)c1cc2c(C)sc(-c3cc4c(-c5cccs5)c5sc(cc5c(-c5cccs5)c4s3)-c3sc(-c4cc5c(-c6cccs6)c6sc(C)cc6c(-c6cccs6)c5s4)c4sc(cc34)C(=O)OC)c2s1
PBDFDTBTz,1.93,CCCCCCCCn1nc2c(-c3ccc(C)s3)ccc(-c3ccc(-c4cc5c(OCC(CC)CCCC)c6oc(C)cc6c(OCC(CC)CCCC)c5o4)s3)c2n1,COc1c2cc(C)oc2c(OC)c2cc(oc12)-c1ccc(s1)-c1ccc(-c2ccc(s2)-c2cc3c(OC)c4oc(cc4c(OC)c3o2)-c2ccc(s2)-c2ccc(-c3ccc(C)s3)c3nn(C)nc23)c2nn(C)nc12
TDPP-BBT,1.43,CCCCCCOc1c2cc(-c3ccc(C4=C5C(=O)N(CCCCCC)C(c6ccc(C)s6)=C5C(=O)N4CCCCCC)s3)sc2c(OCCCCCC)c2cc(C)sc12,COc1c2cc(C)sc2c(OC)c2cc(sc12)-c1ccc(s1)C1=C2C(=O)N(C)C(=C2C(=O)N1C)c1ccc(s1)-c1cc2c(OC)c3sc(cc3c(OC)c2s1)-c1ccc(s1)C1=C2C(=O)N(C)C(=C2C(=O)N1C)c1ccc(C)s1
PBDTDTBTz,1.95,CCCCCCCCn1nc2c(-c3ccc(C)s3)ccc(-c3ccc(-c4cc5c(OCC(CC)CCCC)c6sc(C)cc6c(OCC(CC)CCCC)c5s4)s3)c2n1,COc1c2cc(C)sc2c(OC)c2cc(sc12)-c1ccc(s1)-c1ccc(-c2ccc(s2)-c2cc3c(OC)c4sc(cc4c(OC)c3s2)-c2ccc(s2)-c2ccc(-c3ccc(C)s3)c3nn(C)nc23)c2nn(C)nc12
PBDTT-S-TT,1.57,CCCCC(CC)COC(=O)c1sc2c(-c3cc4c(-c5ccc(SCC(CC)CCCC)s5)c5sc(C)cc5c(-c5ccc(SCC(CC)CCCC)s5)c4s3)sc(C)c2c1F,COC(=O)c1sc2c(sc(C)c2c1F)-c1cc2c(-c3ccc(SC)s3)c3sc(cc3c(-c3ccc(SC)s3)c2s1)-c1sc(-c2cc3c(-c4ccc(SC)s4)c4sc(C)cc4c(-c4ccc(SC)s4)c3s2)c2sc(C(=O)OC)c(F)c12
PTIPS-BDT-TT (P3),1.71,CCCCC(CC)COC(=O)c1sc2c(-c3cc4c(C#C[Si](C(C)C)(C(C)C)C(C)C)c5sc(C)cc5c(C#C[Si](C(C)C)(C(C)C)C(C)C)c4s3)sc(C)c2c1F,COC(=O)c1sc2c(sc(C)c2c1F)-c1cc2c(C#C[Si](C)(C)C)c3sc(cc3c(C#C[Si](C)(C)C)c2s1)-c1sc(-c2cc3c(C#C[Si](C)(C)C)c4sc(C)cc4c(C#C[Si](C)(C)C)c3s2)c2sc(C(=O)OC)c(F)c12
N-P7,1.95,CCCCCCCCC1(CCCCCCCC)c2cc(C)ccc2-c2ccc(-c3ccc(-c4ccc(-c5ccc(C)s5)c5nc(-c6ccccc6)c(-c6ccccc6)nc45)s3)cc21,Cc1ccc(s1)-c1ccc(-c2ccc(s2)-c2ccc3-c4ccc(cc4C(C)(C)c3c2)-c2ccc(s2)-c2ccc(-c3ccc(s3)-c3ccc4-c5ccc(C)cc5C(C)(C)c4c3)c3nc(-c4ccccc4)c(nc23)-c2ccccc2)c2nc(-c3ccccc3)c(nc12)-c1ccccc1
PTB7-TV,1.64,C=CCCCCCCCCCOc1c2cc(-c3sc(C)c4sc(C(=O)OCC(CC)CCCC)c(F)c34)sc2c(OCCCCCCCCCC=C)c2cc(C)sc12,COC(=O)c1sc2c(C)sc(-c3cc4c(OC)c5sc(cc5c(OC)c4s3)-c3sc(-c4cc5c(OC)c6sc(C)cc6c(OC)c5s4)c4c(F)c(sc34)C(=O)OC)c2c1F
PBDTT-O-TT,1.53,CCCCC(CC)COC(=O)c1sc2c(-c3cc4c(-c5ccc(OCC(CC)CCCC)s5)c5sc(C)cc5c(-c5ccc(OCC(CC)CCCC)s5)c4s3)sc(C)c2c1F,COC(=O)c1sc2c(sc(C)c2c1F)-c1cc2c(-c3ccc(OC)s3)c3sc(cc3c(-c3ccc(OC)s3)c2s1)-c1sc(-c2cc3c(-c4ccc(OC)s4)c4sc(C)cc4c(-c4ccc(OC)s4)c3s2)c2sc(C(=O)OC)c(F)c12
PDPP2FT-C14,1.4,CCCCCCCCCCCCCCN1C(=O)C2=C(c3ccc(-c4ccc(C)s4)o3)N(CCCCCCCCCCCCCC)C(=O)C2=C1c1ccc(C)o1,CN1C(=O)C2=C(N(C)C(=O)C2=C1c1ccc(C)o1)c1ccc(o1)-c1ccc(s1)-c1ccc(o1)C1=C2C(=O)N(C)C(=C2C(=O)N1C)c1ccc(o1)-c1ccc(C)s1
PBDT-TS1,1.6,CCCCCCCCSc1ccc(-c2c3cc(-c4sc(C)c5c(F)c(C(=O)OCC(CC)CCCC)sc45)sc3c(-c3ccc(SCCCCCCCC)s3)c3cc(C)sc23)s1,COC(=O)c1sc2c(sc(C)c2c1F)-c1cc2c(-c3ccc(SC)s3)c3sc(cc3c(-c3ccc(SC)s3)c2s1)-c1sc(-c2cc3c(-c4ccc(SC)s4)c4sc(C)cc4c(-c4ccc(SC)s4)c3s2)c2sc(C(=O)OC)c(F)c12
PTIPS-BDT-TT (P1),1.69,CCCCC(CC)COC(=O)c1cc2c(C)sc(-c3cc4c(C#C[Si](C(C)C)(C(C)C)C(C)C)c5sc(C)cc5c(C#C[Si](C(C)C)(C(C)C)C(C)C)c4s3)c2s1,COC(=O)c1cc2c(C)sc(-c3cc4c(C#C[Si](C)(C)C)c5sc(cc5c(C#C[Si](C)(C)C)c4s3)-c3sc(-c4cc5c(C#C[Si](C)(C)C)c6sc(C)cc6c(C#C[Si](C)(C)C)c5s4)c4sc(cc34)C(=O)OC)c2s1
PTTTPD-EG (P3),1.8,CCCCCCCCCCCCc1cc(-c2ccc(-c3cc(CCCCCCCCCCCC)c(-c4sc(C)c5c4C(=O)N(COCCOC)C5=O)s3)s2)sc1C,COCN1C(=O)c2c(C)sc(-c3sc(cc3C)-c3ccc(s3)-c3cc(C)c(s3)-c3sc(-c4sc(cc4C)-c4ccc(s4)-c4cc(C)c(C)s4)c4C(=O)N(COC)C(=O)c34)c2C1=O
BDT-T6,1.92,CCCCCCc1sc(CCCCCC)c2c1C(=O)c1c(C)sc(-c3cc4c(OCC(CC)CCCC)c5sc(C)cc5c(OCC(CC)CCCC)c4s3)c1C2=O,COc1c2cc(C)sc2c(OC)c2cc(sc12)-c1sc(-c2cc3c(OC)c4sc(cc4c(OC)c3s2)-c2sc(C)c3c2C(=O)c2c(C)sc(C)c2C3=O)c2c1C(=O)c1c(C)sc(C)c1C2=O
DTS-C6,1.63,CCCCCCc1cc2c(cc1CCCCCC)C(=O)c1c(-c3cc4c(s3)-c3sc(C)cc3[Si]4(CC(CC)CCCC)CC(CC)CCCC)sc(C)c1C2=O,Cc1cc2c(s1)-c1sc(cc1[Si]2(C)C)-c1sc(-c2cc3c(s2)-c2sc(cc2[Si]3(C)C)-c2sc(C)c3c2C(=O)c2cc(C)c(C)cc2C3=O)c2c1C(=O)c1cc(C)c(C)cc1C2=O
PPDT1,2,CCCCCCC(CCCC)Cn1c(=O)c2cc(-c3cc4c(OCC(CC)CCCC)c5sc(C)cc5c(OCC(CC)CCCC)c4s3)sc2c2sc(C)cc21,COc1c2cc(sc2c(OC)c2cc(C)sc12)-c1cc2c(s1)c1sc(cc1n(C)c2=O)-c1cc2c(OC)c3sc(cc3c(OC)c2s1)-c1cc2c(s1)c1sc(C)cc1n(C)c2=O
PFDCN,1.87,CCCCCCCCC1(CCCCCCCC)c2cc(C)ccc2-c2ccc(-c3ccc(N(c4ccc(C)cc4)c4ccc(/C=C\c5ccc(C=C(C#N)C#N)s5)cc4)cc3)cc21,Cc1ccc(cc1)N(c1ccc(\C=C/c2ccc(C=C(C#N)C#N)s2)cc1)c1ccc(cc1)-c1ccc2-c3ccc(cc3C(C)(C)c2c1)-c1ccc(cc1)N(c1ccc(\C=C/c2ccc(C=C(C#N)C#N)s2)cc1)c1ccc(cc1)-c1ccc2-c3ccc(C)cc3C(C)(C)c2c1
DTS-C6,1.62,CCCCCCc1cc2c(cc1CCCCCC)C(=O)c1c(-c3cc4c(s3)-c3sc(C)cc3[Si]4(CC(CC)CCCC)C[C@@H](CC)CCCC)sc(C)c1C2=O,Cc1cc2c(s1)-c1sc(cc1[Si]2(C)C)-c1sc(-c2cc3c(s2)-c2sc(cc2[Si]3(C)C)-c2sc(C)c3c2C(=O)c2cc(C)c(C)cc2C3=O)c2c1C(=O)c1cc(C)c(C)cc1C2=O
PGFDTDPP (C4),1.63,CCCCCCCCN1C(=O)C2=C(c3ccc(-c4ccc5c(c4)-c4ccc(C)cc4[Ge]5(CCCC)CCCC)s3)N(CCCCCCCC)C(=O)C2=C1c1ccc(C)s1,CN1C(=O)C2=C(N(C)C(=O)C2=C1c1ccc(C)s1)c1ccc(s1)-c1ccc2c(c1)-c1ccc(cc1[Ge]2(C)C)-c1ccc(s1)C1=C2C(=O)N(C)C(=C2C(=O)N1C)c1ccc(s1)-c1ccc2c(c1)-c1ccc(C)cc1[Ge]2(C)C
P2,2.34,CCCCCCCCOC(=O)/C(C#N)=C\c1ccc(/C=C/c2cc(C)sc2-c2ccc3c(c2)C(CCCCCCCC)(CCCCCCCC)c2cc(C)ccc2-3)s1,COC(=O)C(=C/c1ccc(\C=C\c2cc(C)sc2-c2ccc3-c4ccc(cc4C(C)(C)c3c2)-c2cc(\C=C\c3ccc(\C=C(\C#N)C(=O)OC)s3)c(s2)-c2ccc3-c4ccc(C)cc4C(C)(C)c3c2)s1)\C#N
HXS-1,1.95,CCCCCCCCOc1c(OCCCCCCCC)c(-c2ccc(-c3ccc4c5ccc(C)cc5n(CCCCCCCC)c4c3)s2)c2nsnc2c1-c1ccc(C)s1,COc1c(OC)c(-c2ccc(s2)-c2ccc3c(c2)n(C)c2cc(ccc32)-c2ccc(s2)-c2c(OC)c(OC)c(-c3ccc(s3)-c3ccc4c(c3)n(C)c3cc(C)ccc43)c3nsnc23)c2nsnc2c1-c1ccc(C)s1
PDBPTBT-4,1.82,CCCCCCCCOc1cc(-c2ccc(C)s2)c2nsnc2c1-c1ccc(-c2ccc3c(c2)C(CCCCCCCC)(CCCCCCCC)Oc2cc(C)ccc2-3)s1,COc1cc(-c2ccc(C)s2)c2nsnc2c1-c1ccc(s1)-c1ccc2-c3ccc(cc3OC(C)(C)c2c1)-c1ccc(s1)-c1cc(OC)c(-c2ccc(s2)-c2ccc3-c4ccc(C)cc4OC(C)(C)c3c2)c2nsnc12
BTI-BDT,1.93,CCCCCCC(CCCC)Cn1c(=O)c2cc(C)sc2c2sc(-c3cc4c(OCC(CC)CCCC)c5sc(C)cc5c(OCC(CC)CCCC)c4s3)cc2c1=O,COc1c2cc(sc2c(OC)c2cc(C)sc12)-c1cc2c(s1)c1sc(cc1c(=O)n(C)c2=O)-c1cc2c(OC)c3sc(cc3c(OC)c2s1)-c1cc2c(s1)c1sc(C)cc1c(=O)n(C)c2=O
PDBPTBT-5,1.94,CCCCCCCCOc1c(F)c(-c2ccc(C)s2)c2nsnc2c1-c1ccc(-c2ccc3c(c2)C(CCCCCCCC)(CCCCCCCC)Oc2cc(C)ccc2-3)s1,COc1c(F)c(-c2ccc(C)s2)c2nsnc2c1-c1ccc(s1)-c1ccc2-c3ccc(cc3OC(C)(C)c2c1)-c1ccc(s1)-c1c(F)c(OC)c(-c2ccc(s2)-c2ccc3-c4ccc(C)cc4OC(C)(C)c3c2)c2nsnc12
PCDTTPD,2.05,CCCCCCCCC(CCCCCCCC)n1c2cc(C)ccc2c2ccc(-c3ccc(-c4sc(-c5ccc(C)s5)c5c4C(=O)N(CCCCCCCC)C5=O)s3)cc21,CN1C(=O)c2c(sc(-c3ccc(s3)-c3ccc4c(c3)n(C)c3cc(ccc43)-c3ccc(s3)-c3sc(-c4ccc(s4)-c4ccc5c(c4)n(C)c4cc(C)ccc54)c4C(=O)N(C)C(=O)c34)c2C1=O)-c1ccc(C)s1
PDTSTTz,1.81,CCCCCCc1cc(C)sc1-c1nc2sc(-c3sc(-c4cc5c(s4)-c4sc(C)cc4[Si]5(CC(CC)CCCC)CC(CC)CCCC)cc3CCCCCC)nc2s1,Cc1cc(C)c(s1)-c1nc2sc(nc2s1)-c1sc(cc1C)-c1cc2c(s1)-c1sc(cc1[Si]2(C)C)-c1cc(C)c(s1)-c1nc2sc(nc2s1)-c1sc(cc1C)-c1cc2c(s1)-c1sc(C)cc1[Si]2(C)C
PCzTh-TVCN,2.18,CCCCCCCCOC(=O)/C(C#N)=C/c1ccc(/C=C/c2cc(-c3ccc4c5ccc(C)cc5n(C(CCCCCCCC)CCCCCCCC)c4c3)sc2C)s1,COC(=O)C(=C\c1ccc(\C=C\c2cc(sc2C)-c2ccc3c(c2)n(C)c2cc(ccc32)-c2sc(cc2\C=C\c2ccc(\C=C(/C#N)C(=O)OC)s2)-c2ccc3c(c2)n(C)c2cc(C)ccc32)s1)\C#N
PDTSTTz-4,1.76,CCCCCCc1cc(-c2nc3sc(-c4cc(CCCCCC)c(-c5cc6c(s5)-c5sc(C)cc5[Si]6(CC(CC)CCCC)CC(CC)CCCC)s4)nc3s2)sc1C,Cc1cc2c(s1)-c1sc(cc1[Si]2(C)C)-c1sc(cc1C)-c1nc2sc(nc2s1)-c1cc(C)c(s1)-c1cc2c(s1)-c1sc(cc1[Si]2(C)C)-c1sc(cc1C)-c1nc2sc(nc2s1)-c1cc(C)c(C)s1
PDTPTBT,1.62,CCCCCCCCc1ccc(-n2c3cc(C)sc3c3sc(-c4cc(CCCCCCCC)c(-c5ccc(-c6sc(C)cc6CCCCCCCC)c6nsnc56)s4)cc32)cc1,Cc1cc(C)c(s1)-c1ccc(-c2sc(cc2C)-c2cc3n(-c4ccccc4)c4cc(sc4c3s2)-c2cc(C)c(s2)-c2ccc(-c3sc(cc3C)-c3cc4n(-c5ccccc5)c5cc(C)sc5c4s3)c3nsnc23)c2nsnc12
BDT-C6,1.86,CCCCCCc1cc2c(cc1CCCCCC)C(=O)c1c(-c3cc4c(OCC(CC)CCCC)c5sc(C)cc5c(OCC(CC)CCCC)c4s3)sc(C)c1C2=O,COc1c2cc(C)sc2c(OC)c2cc(sc12)-c1sc(-c2cc3c(OC)c4sc(cc4c(OC)c3s2)-c2sc(C)c3c2C(=O)c2cc(C)c(C)cc2C3=O)c2c1C(=O)c1cc(C)c(C)cc1C2=O
PTTBDT-FTT,1.55,CCCCC(CC)COC(=O)c1sc2c(C)sc(-c3cc4c(-c5cc6sc(CC(CC)CCCC)cc6s5)c5sc(C)cc5c(-c5cc6sc(CC(CC)CCCC)cc6s5)c4s3)c2c1F,COC(=O)c1sc2c(C)sc(-c3cc4c(-c5cc6sccc6s5)c5sc(cc5c(-c5cc6sccc6s5)c4s3)-c3sc(-c4cc5c(-c6cc7sccc7s6)c6sc(C)cc6c(-c6cc7sccc7s6)c5s4)c4c(F)c(sc34)C(=O)OC)c2c1F
BTSA5,1.84,CCCCCCCCCCCCCCC(CCCCCCCCCCCCCC)CN1c2cc(C)sc2-c2sc(-c3ccc(-c4ccc(C)s4)s3)cc2S1(=O)=O,CN1c2cc(C)sc2-c2sc(cc2S1(=O)=O)-c1ccc(s1)-c1ccc(s1)-c1cc2N(C)S(=O)(=O)c3cc(sc3-c2s1)-c1ccc(s1)-c1ccc(C)s1
PBTTPD,1.82,CCCCCCCCCCCCc1cc(-c2cc(CCCCCCCCCCCC)c(-c3sc(C)c4c3C(=O)N(CC(CC)CCCC)C4=O)s2)sc1C,CN1C(=O)c2c(C)sc(-c3sc(cc3C)-c3cc(C)c(s3)-c3sc(-c4sc(cc4C)-c4cc(C)c(C)s4)c4C(=O)N(C)C(=O)c34)c2C1=O
PTN8,1.79,CCCCCCCCc1ccc2c(c1)C(=O)c1c(C)sc(-c3cc4c(-c5ccc(CC(CC)CCCC)s5)c5sc(C)cc5c(-c5ccc(CC(CC)CCCC)s5)c4s3)c1C2=O,Cc1cc2c(-c3cccs3)c3sc(cc3c(-c3cccs3)c2s1)-c1sc(-c2cc3c(-c4cccs4)c4sc(cc4c(-c4cccs4)c3s2)-c2sc(C)c3c2C(=O)c2ccc(C)cc2C3=O)c2c1C(=O)c1ccc(C)cc1C2=O
PDPP-BBT,1.7,CCCCCCOc1c2cc(-c3ccc(C4=C5C(=O)N(CCCCCC)C(c6ccc(C)cc6)=C5C(=O)N4CCCCCC)cc3)sc2c(OCCCCCC)c2cc(C)sc12,COc1c2cc(sc2c(OC)c2cc(C)sc12)-c1ccc(cc1)C1=C2C(=O)N(C)C(=C2C(=O)N1C)c1ccc(cc1)-c1cc2c(OC)c3sc(cc3c(OC)c2s1)-c1ccc(cc1)C1=C2C(=O)N(C)C(=C2C(=O)N1C)c1ccc(C)cc1
PPDT2,1.97,CCCCCCC(CCCC)Cn1c(=O)c2cc(-c3cc4c(CCC(CC)CCCC)c5sc(C)cc5c(CCC(CC)CCCC)c4s3)sc2c2sc(C)cc21,Cc1cc2c(C)c3sc(cc3c(C)c2s1)-c1cc2c(s1)c1sc(cc1n(C)c2=O)-c1cc2c(C)c3sc(cc3c(C)c2s1)-c1cc2c(s1)c1sc(C)cc1n(C)c2=O
PPh-DTBTA,1.87,CCCCCCCCCCCCn1nc2c(-c3ccc(C)s3)ccc(-c3ccc(-c4cc(OCCCCCCCC)c(C)cc4OCCCCCCCC)s3)c2n1,COc1cc(-c2ccc(s2)-c2ccc(-c3ccc(s3)-c3cc(OC)c(cc3OC)-c3ccc(s3)-c3ccc(-c4ccc(C)s4)c4nn(C)nc34)c3nn(C)nc23)c(OC)cc1C
POF1,1.63,CCCCCCCCOc1c2cc(-c3ccc(C)c4nc(-c5ccc(/C=N/c6ccccc6F)[nH]5)c(-c5ccc(/C=N/c6ccccc6F)[nH]5)nc34)sc2c(OCCCCCCCC)c2cc(C)sc12,COc1c2cc(sc2c(OC)c2cc(C)sc12)-c1ccc(-c2cc3c(OC)c4sc(cc4c(OC)c3s2)-c2ccc(C)c3nc(-c4ccc(\C=N\c5ccccc5F)[nH]4)c(nc23)-c2ccc(\C=N\c3ccccc3F)[nH]2)c2nc(-c3ccc(\C=N\c4ccccc4F)[nH]3)c(nc12)-c1ccc(\C=N\c2ccccc2F)[nH]1
POF2,1.63,CCCCCCCCOc1c2cc(-c3ccc(C)c4nc(-c5ccc(/C=N/c6c(F)cccc6F)[nH]5)c(-c5ccc(/C=N/c6c(F)cccc6F)[nH]5)nc34)sc2c(OCCCCCCCC)c2cc(C)sc12,COc1c2cc(C)sc2c(OC)c2cc(sc12)-c1ccc(-c2cc3c(OC)c4sc(cc4c(OC)c3s2)-c2ccc(C)c3nc(-c4ccc(\C=N\c5c(F)cccc5F)[nH]4)c(nc23)-c2ccc(\C=N\c3c(F)cccc3F)[nH]2)c2nc(-c3ccc(\C=N\c4c(F)cccc4F)[nH]3)c(nc12)-c1ccc(\C=N\c2c(F)cccc2F)[nH]1
PTP8,1.78,CCCCCCCCc1ccc(N2C(=O)c3c(C)sc(-c4cc5c(-c6ccc(CC(CC)CCCC)s6)c6sc(C)cc6c(-c6ccc(CC(CC)CCCC)s6)c5s4)c3C2=O)cc1,Cc1cc2c(-c3cccs3)c3sc(cc3c(-c3cccs3)c2s1)-c1sc(-c2cc3c(-c4cccs4)c4sc(cc4c(-c4cccs4)c3s2)-c2sc(C)c3C(=O)N(C(=O)c23)c2ccccc2)c2C(=O)N(C(=O)c12)c1ccccc1
PBTF-OP,1.62,CCCCC(CC)COC(=O)c1sc2c(-c3cc4c(-c5cccc(OCC(CC)CCCC)c5)c5sc(C)cc5c(-c5cccc(OCC(CC)CCCC)c5)c4s3)sc(C)c2c1F,COC(=O)c1sc2c(sc(C)c2c1F)-c1cc2c(-c3cccc(OC)c3)c3sc(cc3c(-c3cccc(OC)c3)c2s1)-c1sc(-c2cc3c(-c4cccc(OC)c4)c4sc(C)cc4c(-c4cccc(OC)c4)c3s2)c2sc(C(=O)OC)c(F)c12
PBDT-Tz-TPD (P1),1.81,CCCCCCCCCCc1cnc(-c2c3cc(-c4sc(C)c5c4C(=O)N(CCCCCCCC)C5=O)sc3c(-c3ncc(CCCCCCCCCC)s3)c3cc(C)sc23)s1,CN1C(=O)c2c(C)sc(-c3cc4c(-c5ncc(C)s5)c5sc(cc5c(-c5ncc(C)s5)c4s3)-c3sc(-c4cc5c(-c6ncc(C)s6)c6sc(C)cc6c(-c6ncc(C)s6)c5s4)c4C(=O)N(C)C(=O)c34)c2C1=O
PBdT-TTz,1.91,CCCCCCCCOc1c(OCCCCCCCC)c2sc(-c3sc(-c4nc5sc(-c6cc(CCCCCC)c(C)s6)nc5s4)cc3CCCCCC)cc2c2cc(C)sc12,COc1c(OC)c2sc(cc2c2cc(C)sc12)-c1sc(cc1C)-c1nc2sc(nc2s1)-c1cc(C)c(s1)-c1cc2c3cc(sc3c(OC)c(OC)c2s1)-c1sc(cc1C)-c1nc2sc(nc2s1)-c1cc(C)c(C)s1
H1,1.63,CCCCCCCCCCCCOc1c2cc(-c3ccc(C)c4nc(-c5ccccc5)c(-c5ccccc5)nc34)sc2c(OCCCCCCCCCCCC)c2cc(C)sc12,COc1c2cc(C)sc2c(OC)c2cc(sc12)-c1ccc(-c2cc3c(OC)c4sc(cc4c(OC)c3s2)-c2ccc(C)c3nc(-c4ccccc4)c(nc23)-c2ccccc2)c2nc(-c3ccccc3)c(nc12)-c1ccccc1
TPO(CO)(2EH/C11),1.79,CCCCCCCCCCCC(=O)N1C(=O)c2c(C)sc(-c3cc4c(-c5ccc(CC(CC)CCCC)s5)c5sc(C)cc5c(-c5ccc(CC(CC)CCCC)s5)c4s3)c2C1=O,CC(=O)N1C(=O)c2c(C)sc(-c3cc4c(-c5cccs5)c5sc(cc5c(-c5cccs5)c4s3)-c3sc(-c4cc5c(-c6cccs6)c6sc(C)cc6c(-c6cccs6)c5s4)c4C(=O)N(C(C)=O)C(=O)c34)c2C1=O
HMPQTN,2,CCCCCCCCC(CCCCCC)Cc1cc2c3cc(CC(CCCCCC)CCCCCCCC)sc3c3c4cc(C)sc4c4sc(C)cc4c3c2s1,Cc1cc2c(s1)c1sc(C)cc1c1c3sc(cc3c3cc(sc3c21)-c1cc2c(s1)c1sc(C)cc1c1c3sc(C)cc3c3cc(C)sc3c21)-c1cc2c(s1)c1sc(C)cc1c1c3sc(C)cc3c3cc(C)sc3c21
DTS-T-Ch,1.73,CCCCCCC1(CCCCCC)C(=O)c2c(C)sc(-c3ccc(-c4cc5c(s4)-c4sc(-c6ccc(C)s6)cc4[Si]5(CC(CC)CCCC)CC(CC)CCCC)s3)c2C1=O,Cc1ccc(s1)-c1cc2c(s1)-c1sc(cc1[Si]2(C)C)-c1ccc(s1)-c1sc(-c2ccc(s2)-c2cc3c(s2)-c2sc(cc2[Si]3(C)C)-c2ccc(s2)-c2sc(C)c3C(=O)C(C)(C)C(=O)c23)c2C(=O)C(C)(C)C(=O)c12
PBDT-BT,1.75,CCCCCCc1cc(-c2c3cc(-c4ccc(C)c5nsnc45)sc3c(-c3cc(CCCCCC)c(CC(CC)CCCC)s3)c3cc(C)sc23)sc1CC(CC)CCCC,Cc1cc2c(-c3cccs3)c3sc(cc3c(-c3cccs3)c2s1)-c1ccc(-c2cc3c(-c4cccs4)c4sc(cc4c(-c4cccs4)c3s2)-c2ccc(C)c3nsnc23)c2nsnc12
P3,1.85,CCCCCCc1nc(-c2nc(CCCCCC)c(-c3ccc(-c4cc5c(s4)-c4sc(C)cc4[Si]5(CC(CC)CCCC)CC(CC)CCCC)s3)s2)sc1-c1ccc(C)s1,Cc1ccc(s1)-c1sc(nc1C)-c1nc(C)c(s1)-c1ccc(s1)-c1cc2c(s1)-c1sc(cc1[Si]2(C)C)-c1ccc(s1)-c1sc(nc1C)-c1nc(C)c(s1)-c1ccc(s1)-c1cc2c(s1)-c1sc(C)cc1[Si]2(C)C
PCVTT,2.1,C/C=C/c1ccc2c3ccc(/C=C/c4sc(-c5cc(CCCCCCCC)c(C)s5)cc4CCCCCCCC)cc3n(-c3ccc(OCCCCCCCC)cc3)c2c1,COc1ccc(cc1)-n1c2cc(\C=C\C)ccc2c2ccc(\C=C\c3sc(cc3C)-c3cc(C)c(\C=C\c4ccc5c(c4)n(-c4ccc(OC)cc4)c4cc(\C=C\c6sc(cc6C)-c6cc(C)c(C)s6)ccc54)s3)cc12
PBDT-T10-TPD,1.8,CCCCCCCCCCc1ccc(-c2c3cc(-c4sc(C)c5c4C(=O)N(CCCCCCCC)C5=O)sc3c(-c3ccc(CCCCCCCCCC)s3)c3cc(C)sc23)s1,CN1C(=O)c2c(C)sc(-c3cc4c(-c5cccs5)c5sc(cc5c(-c5cccs5)c4s3)-c3sc(-c4cc5c(-c6cccs6)c6sc(C)cc6c(-c6cccs6)c5s4)c4C(=O)N(C)C(=O)c34)c2C1=O
