idx,HOMO-B3LYP(eV),LUMO-B3LYP(eV),HOMO-LUMO-B3LYP(eV),HOMO-wB97XD(eV),LUMO-wB97XD(eV),HOMO-LUMO-wB97XD(eV),HOMO-camB3LYP(eV),LUMO-camB3LYP(eV),HOMO-LUMO-camB3LYP(eV),HOMO-PBE(eV),LUMO-PBE(eV),HOMO-LUMO-PBE(eV),S1-state-B3LYP(eV)
112,-4.86186,-2.36603,2.49583,-6.53454,-1.00138,5.53316,-5.97181,-1.46452,4.50729,-4.356,-2.81583,1.54016,2.2634
113,-5.13343,-2.86019,2.27324,-6.87632,-1.30914,5.56718,-6.30025,-1.82262,4.47763,-4.54321,-3.35108,1.19213,1.9572
114,-4.90839,-2.63297,2.27542,-6.60366,-1.18179,5.42187,-6.03821,-1.68466,4.35355,-4.38321,-3.06346,1.31975,2.0098
115,-5.00962,-2.64386,2.36576,-6.70352,-1.11812,5.58541,-6.12773,-1.62425,4.50348,-4.5062,-3.12087,1.38533,2.0703
116,-4.85478,-2.61556,2.23922,-6.55495,-1.07811,5.47683,-5.97943,-1.58751,4.39192,-4.35437,-3.11325,1.24111,1.9652
117,-4.6009,-2.07269,2.52821,-6.33726,-0.573616,5.76364,-5.77126,-1.08791,4.68335,-4.07572,-2.52658,1.54914,2.2303
118,-4.52444,-2.4795,2.04494,-6.18542,-1.0275,5.15792,-5.61969,-1.53472,4.08497,-4.05749,-2.93611,1.12138,1.7784
119,-5.34241,-2.90318,2.43923,-7.07088,-1.45635,5.61452,-6.49427,-1.95296,4.54131,-4.77342,-3.33612,1.43731,2.1312
120,-4.57886,-2.39324,2.18562,-6.27794,-0.93852,5.33942,-5.71249,-1.4452,4.26729,-4.08633,-2.80685,1.27948,1.8863
121,-4.94839,-2.45365,2.49474,-6.62733,-1.08628,5.54105,-6.0597,-1.54914,4.51056,-4.45124,-2.91706,1.53418,2.2525
122,-5.23166,-2.63243,2.59923,-6.96802,-1.15948,5.80854,-6.39767,-1.6686,4.72907,-4.63138,-3.06101,1.57037,2.2997
123,-4.82186,-2.41855,2.40331,-6.57128,-0.945051,5.62622,-5.99957,-1.45282,4.54675,-4.15218,-2.83896,1.31322,2.0879
124,-4.52008,-2.68821,1.83187,-6.19059,-1.26778,4.92281,-5.62704,-1.77119,3.85585,-3.95517,-3.10808,0.84709,1.5556
125,-4.81696,-2.37637,2.44059,-6.51604,-0.923826,5.59221,-5.9465,-1.42179,4.52471,-4.27953,-2.81556,1.46397,2.1781
126,-4.81614,-2.40413,2.41202,-6.56556,-0.931173,5.63439,-5.99358,-1.43839,4.55519,-4.14729,-2.82536,1.32193,2.0943
127,-4.62376,-2.70699,1.91677,-6.29372,-1.27268,5.02104,-5.73017,-1.7769,3.95327,-4.153,-3.1255,1.0275,1.6793
128,-4.81124,-2.5546,2.25664,-6.49862,-1.11784,5.38078,-5.93562,-1.62207,4.31355,-4.28634,-2.96305,1.32329,1.9983
129,-5.02839,-2.58726,2.44113,-6.76257,-1.0939,5.66867,-6.20066,-1.59595,4.60471,-4.48199,-3.02972,1.45227,2.2125
130,-5.04227,-2.78617,2.2561,-6.76992,-1.31921,5.45071,-6.19658,-1.82915,4.36743,-4.48607,-3.23652,1.24955,1.932
131,-4.76254,-2.72712,2.03541,-6.494,-1.26696,5.22703,-5.92065,-1.78017,4.14048,-4.25913,-3.16414,1.09499,1.7226
132,-5.09288,-2.47488,2.61801,-6.84693,-0.977161,5.86977,-6.28229,-1.47295,4.80934,-4.52797,-2.93883,1.58914,2.3646
133,-4.48879,-2.66018,1.8286,-6.21372,-1.2071,5.00662,-5.63956,-1.71976,3.9198,-3.89368,-3.0738,0.819879,1.5223
134,-4.76771,-2.30562,2.46209,-6.50842,-0.817974,5.69044,-5.9416,-1.32792,4.61369,-4.08143,-2.71733,1.36411,2.1686
135,-4.71845,-2.76495,1.9535,-6.43359,-1.25417,5.17941,-5.86242,-1.77391,4.08851,-4.22511,-3.23652,0.988589,1.6799
136,-5.41833,-2.74699,2.67134,-7.19006,-1.26996,5.92011,-6.62162,-1.78779,4.83383,-4.77777,-3.15462,1.62316,2.3474
137,-4.8088,-2.19269,2.6161,-6.55631,-0.692802,5.86351,-5.98596,-1.21036,4.7756,-4.24987,-2.63787,1.612,2.3031
138,-5.41751,-2.7391,2.67842,-7.18952,-1.2607,5.92882,-6.62107,-1.77881,4.84227,-4.77723,-3.14754,1.62969,2.3542
139,-4.87873,-2.44494,2.43379,-6.59087,-0.994848,5.59602,-6.02514,-1.49853,4.52661,-4.31709,-2.87134,1.44574,2.1411
140,-4.98839,-2.52739,2.461,-6.70679,-1.08056,5.62622,-6.13943,-1.58397,4.55546,-4.41287,-2.93856,1.47431,2.1866
141,-4.94893,-2.62427,2.32467,-6.63794,-1.22261,5.41534,-6.08011,-1.72357,4.35654,-4.34402,-2.97937,1.36465,2.1029
142,-4.84009,-2.43732,2.40276,-6.53645,-0.990222,5.54622,-5.97072,-1.49118,4.47954,-4.29477,-2.86699,1.42778,2.1477
143,-4.9824,-2.52767,2.45474,-6.69917,-1.0822,5.61697,-6.13181,-1.58533,4.54648,-4.40797,-2.93856,1.46941,2.1818
144,-4.76281,-2.44875,2.31406,-6.47631,-1.02641,5.4499,-5.9182,-1.53118,4.38702,-4.12579,-2.82345,1.30234,2.0683
145,-4.96526,-2.56767,2.39759,-6.66624,-1.12274,5.5435,-6.10052,-1.62452,4.476,-4.41396,-2.98999,1.42397,2.14
146,-4.87601,-2.44413,2.43188,-6.57753,-0.992127,5.58541,-6.01099,-1.4939,4.51709,-4.32634,-2.87624,1.45009,2.1744
147,-4.56743,-2.37691,2.19052,-6.25835,-0.941786,5.31656,-5.69997,-1.44628,4.25368,-3.94892,-2.74862,1.20029,1.9432
148,-4.84281,-2.43215,2.41066,-6.54053,-0.983691,5.55684,-5.9748,-1.48465,4.49015,-4.2964,-2.86291,1.4335,2.1541
149,-4.57124,-1.8569,2.71434,-6.30515,-0.386674,5.91848,-5.74541,-0.902874,4.84254,-3.98266,-2.28875,1.69391,2.4578
150,-4.84254,-2.45392,2.38861,-6.54515,-1.01009,5.53507,-5.97997,-1.51214,4.46784,-4.2896,-2.87733,1.41227,2.1184
151,-4.85261,-2.53828,2.31433,-6.52801,-1.13009,5.39792,-5.97072,-1.62915,4.34158,-4.27001,-2.91434,1.35567,2.1014
152,-5.09615,-2.69882,2.39732,-6.83713,-1.13662,5.70051,-6.26107,-1.64765,4.61342,-4.51355,-3.22618,1.28737,2.0756
153,-4.88417,-2.45447,2.4297,-6.5906,-1.00655,5.58405,-6.02433,-1.50778,4.51654,-4.33287,-2.8825,1.45037,2.1657
154,-5.07928,-2.59923,2.48005,-6.79142,-1.16057,5.63085,-6.22814,-1.66615,4.56199,-4.51518,-3.01638,1.4988,2.2145
155,-5.25152,-2.71624,2.53528,-6.97917,-1.18506,5.79412,-6.40583,-1.68847,4.71736,-4.66485,-3.21693,1.44792,2.2379
156,-5.08145,-2.79624,2.28521,-6.83332,-1.21417,5.61915,-6.26243,-1.732,4.53042,-4.48389,-3.29639,1.1875,1.9452
157,-4.63655,-2.79053,1.84602,-6.31875,-1.30479,5.01397,-5.75847,-1.81364,3.94483,-4.02157,-3.19298,0.828587,1.6152
158,-4.74594,-2.39705,2.34889,-6.46161,-0.910221,5.55139,-5.89807,-1.42125,4.47682,-4.08116,-2.80713,1.27404,2.0694
159,-4.83329,-2.621,2.21229,-6.53454,-1.19485,5.33969,-5.96147,-1.69255,4.26892,-4.33042,-3.02019,1.31023,1.9576
160,-5.09479,-2.78155,2.31324,-6.84666,-1.19077,5.65589,-6.27549,-1.71024,4.56525,-4.49913,-3.28387,1.21526,1.9819
161,-4.7492,-2.74808,2.00112,-6.47413,-1.24655,5.22758,-5.90133,-1.7633,4.13803,-4.24361,-3.21502,1.02859,1.7166
162,-4.79573,-2.74971,2.04602,-6.51631,-1.23485,5.28146,-5.94378,-1.7535,4.19028,-4.2926,-3.2289,1.06369,1.7587
163,-4.92798,-2.68359,2.24439,-6.64257,-1.22805,5.41452,-6.07168,-1.7369,4.33477,-4.41069,-3.08305,1.32764,1.9631
164,-4.64906,-2.28848,2.36059,-6.34052,-0.821512,5.51901,-5.77017,-1.31866,4.45151,-4.11708,-2.75243,1.36465,2.0798
165,-4.91438,-2.67406,2.24031,-6.6257,-1.22234,5.40336,-6.05698,-1.732,4.32498,-4.39845,-3.07135,1.3271,1.9613
166,-4.48988,-2.57665,1.91323,-6.16256,-1.16356,4.999,-5.59684,-1.66561,3.93123,-3.96742,-2.9508,1.01662,1.7315
167,-5.20771,-2.57011,2.6376,-6.93836,-1.09961,5.83875,-6.36474,-1.60357,4.76118,-4.62621,-3.00631,1.61989,2.3406
168,-4.92716,-2.68359,2.24358,-6.64121,-1.22778,5.41343,-6.07031,-1.73663,4.33368,-4.41015,-3.08305,1.3271,1.9622
169,-4.75274,-2.37038,2.38236,-6.4578,-0.913486,5.54432,-5.88718,-1.41281,4.47437,-4.19872,-2.8044,1.39431,2.0929
170,-4.91329,-2.67651,2.23678,-6.62434,-1.22533,5.39901,-6.05562,-1.73473,4.3209,-4.3979,-3.07325,1.32465,1.9585
171,-5.43438,-2.52358,2.9108,-7.17292,-0.91784,6.25508,-6.58869,-1.43077,5.15792,-4.8956,-3.07897,1.81663,2.558
172,-4.79573,-2.52603,2.2697,-6.47957,-1.00083,5.47874,-5.90541,-1.51023,4.39518,-4.30511,-3.01366,1.29145,1.9966
173,-4.89478,-2.35923,2.53556,-6.62026,-0.849539,5.77072,-6.05099,-1.36519,4.6858,-4.35763,-2.80168,1.55595,2.2104
174,-4.82839,-2.64549,2.1829,-6.534,-1.18478,5.34921,-5.96528,-1.69037,4.27491,-4.33804,-3.18863,1.14941,1.9189
175,-5.14458,-2.69828,2.4463,-6.84475,-1.23023,5.61452,-6.27576,-1.73908,4.53668,-4.59083,-3.13257,1.45826,2.1327
176,-5.23166,-2.63243,2.59923,-6.96802,-1.15948,5.80854,-6.39767,-1.6686,4.72907,-4.63138,-3.06101,1.57037,2.2997
177,-4.90104,-2.72821,2.17283,-6.60638,-1.27785,5.32853,-6.04419,-1.77962,4.26457,-4.38511,-3.15325,1.23186,1.8538
178,-5.13778,-2.6874,2.45038,-6.83768,-1.21853,5.61915,-6.26869,-1.72792,4.54076,-4.58403,-3.12196,1.46207,2.1377
179,-5.23166,-2.63297,2.59869,-6.96829,-1.15975,5.80854,-6.39794,-1.66915,4.72879,-4.63056,-3.06155,1.56901,2.2991
180,-5.17098,-2.67842,2.49256,-6.87849,-1.20274,5.67575,-6.3076,-1.71377,4.59383,-4.61206,-3.11543,1.49663,2.1639
181,-5.17261,-2.68712,2.48549,-6.87958,-1.21254,5.66704,-6.30869,-1.72302,4.58566,-4.61451,-3.12387,1.49064,2.1583
182,-4.79682,-2.42426,2.37256,-6.54053,-0.953759,5.58677,-5.97453,-1.46697,4.50757,-4.09667,-2.81338,1.28329,2.0565
183,-5.14431,-2.68712,2.45719,-6.84611,-1.21744,5.62867,-6.27685,-1.72683,4.55001,-4.58947,-3.12251,1.46697,2.1413
184,-4.8692,-2.6161,2.2531,-6.60366,-1.13852,5.46513,-6.02378,-1.65064,4.37314,-4.36253,-3.07815,1.28438,1.9311
185,-5.33778,-2.50045,2.83733,-7.07523,-0.884098,6.19113,-6.48937,-1.39649,5.09288,-4.7658,-3.06182,1.70398,2.5295
186,-4.69968,-1.97446,2.72522,-6.45753,-0.469124,5.98841,-5.88909,-0.983691,4.9054,-4.15599,-2.43923,1.71677,2.427
187,-5.10159,-2.70916,2.39242,-6.84012,-1.15458,5.68555,-6.26406,-1.66479,4.59927,-4.52063,-3.23326,1.28737,2.0728
188,-5.27084,-3.13366,2.13718,-6.96122,-1.66234,5.29887,-6.38814,-2.16875,4.2194,-4.76961,-3.57503,1.19458,1.8556
189,-4.73723,-2.64631,2.09092,-6.49318,-1.10342,5.38976,-5.92201,-1.61255,4.30947,-4.04688,-3.12686,0.920017,1.7701
190,-5.0586,-2.63216,2.42644,-6.80693,-1.09199,5.71493,-6.22977,-1.60085,4.62893,-4.46239,-3.13393,1.32846,2.0979
191,-4.87029,-2.56141,2.30889,-6.54923,-1.10124,5.44799,-5.98542,-1.61173,4.37369,-4.35872,-2.96822,1.3905,2.0824
192,-4.89914,-2.65692,2.24222,-6.57536,-1.17363,5.40173,-6.00528,-1.68819,4.31709,-4.40443,-3.08359,1.32084,1.998
193,-4.89832,-2.74481,2.15351,-6.57699,-1.36547,5.21152,-6.01535,-1.8501,4.16525,-4.36443,-3.13611,1.22832,1.9141
194,-4.89914,-2.57148,2.32766,-6.59114,-1.13771,5.45343,-6.01997,-1.62642,4.39355,-4.37994,-3.02618,1.35377,2.0575
