Nickname,bandgap(eV),c_smiles,newSMILES,Ref.No,HOMO(eV),LUMO(eV)
PSB-FTT,1.97,CCCCCCCCC(CCCCCC)CSc1ccc(-c2c3cc(-c4sc(C)c5c(F)c(C(=O)OCC(CC)CCCC)sc45)sc3c(-c3ccc(SCC(CCCCCC)CCCCCCCC)cc3)c3cc(C)sc23)cc1,COC(=O)c1sc2c(sc(C)c2c1F)-c1cc2c(-c3ccccc3)c3sc(cc3c(-c3ccccc3)c2s1)-c1sc(-c2cc3c(-c4ccccc4)c4sc(C)cc4c(-c4ccccc4)c3s2)c2sc(C(=O)OC)c(F)c12,S493,-5.21,-3.24
PzNDTDTBO,1.76,CCCCCCCCCCCCOc1c(OCCCCCCCCCCCC)c(-c2ccc(-c3cc4cc(OCC(CC)CCCC)c5c6sc(C)cc6cc(OCC(CC)CCCC)c5c4s3)s2)c2nonc2c1-c1ccc(C)s1,COc1cc2cc(sc2c2c(OC)cc3cc(C)sc3c12)-c1ccc(s1)-c1c(OC)c(OC)c(-c2ccc(s2)-c2cc3cc(OC)c4c5sc(cc5cc(OC)c4c3s2)-c2ccc(s2)-c2c(OC)c(OC)c(-c3ccc(C)s3)c3nonc23)c2nonc12,S314,-5.3,-3.54
C3-DPPTTT,1.39,CCCCCCCCCCC(CCCCCCCC)CCCN1C(=O)C2=C(c3cc4sc(-c5ccc(C)s5)cc4s3)N(CCCC(CCCCCCCC)CCCCCCCCCC)C(=O)C2=C1c1cc2sc(C)cc2s1,CN1C(=O)C2=C(N(C)C(=O)C2=C1c1cc2sc(C)cc2s1)c1cc2sc(cc2s1)-c1ccc(s1)-c1cc2sc(cc2s1)C1=C2C(=O)N(C)C(=C2C(=O)N1C)c1cc2sc(cc2s1)-c1ccc(C)s1,S88,-5.08,-3.6900000000000004
PtFBTPBDT,1.45,CCCCCCCCCCCCCCCCCCCCOc1c2cc(-c3cc4c(s3)/C(=C3\c5ccc(F)cc5-c5cc(C)sc53)c3ccc(F)cc3-4)sc2c(OCCCCCCCCCCCCCCCCCCCC)c2cc(C)sc12,COc1c2cc(sc2c(OC)c2cc(C)sc12)-c1cc2-c3cc(F)ccc3\C(=C3\c4ccc(F)cc4-c4cc(sc34)-c3cc4c(OC)c5sc(cc5c(OC)c4s3)-c3cc4-c5cc(F)ccc5\C(=C5\c6ccc(F)cc6-c6cc(C)sc56)c4s3)c2s1,S444,-5.42,-3.9699999999999998
PBDTDT(Qx-2)-O,1.9,CCCCCCCCOc1c(OCCCCCCCC)c(-c2ccc(-c3cc4c(OC[C@H](CC)CCCC)c5sc(C)cc5c(OCC(CC)CCCC)c4s3)s2)c2nc(-c3ccc(OC)cc3)c(-c3ccc(OC)cc3)nc2c1-c1ccc(C)s1,COc1c(OC)c(-c2ccc(s2)-c2cc3c(OC)c4sc(cc4c(OC)c3s2)-c2ccc(s2)-c2c(OC)c(OC)c(-c3ccc(s3)-c3cc4c(OC)c5sc(C)cc5c(OC)c4s3)c3nc(-c4ccccc4)c(nc23)-c2ccccc2)c2nc(-c3ccccc3)c(nc2c1-c1ccc(C)s1)-c1ccccc1,S248,-5.29,-3.39
PtBTPBDT,1.46,CCCCCCCCCCCCCCCCCCCCOc1c2cc(-c3cc4c(s3)/C(=C3\c5ccccc5-c5sc(C)cc53)c3ccccc3-4)sc2c(OCCCCCCCCCCCCCCCCCCCC)c2cc(C)sc12,COc1c2cc(sc2c(OC)c2cc(C)sc12)-c1cc2-c3ccccc3\C(=C3/c4cc(sc4-c4ccccc34)-c3cc4c(OC)c5sc(cc5c(OC)c4s3)-c3cc4-c5ccccc5\C(=C5/c6cc(C)sc6-c6ccccc56)c4s3)c2s1,S444,-5.29,-3.83
PcBTPBDT,1.48,CCCCCCCCCCCCCCCCCCCCOc1c2cc(-c3cc4c(s3)/C(=C3/c5ccccc5-c5cc(C)sc53)c3ccccc3-4)sc2c(OCCCCCCCCCCCCCCCCCCCC)c2cc(C)sc12,COc1c2cc(C)sc2c(OC)c2cc(sc12)-c1cc2-c3ccccc3\C(=C3/c4ccccc4-c4cc(sc34)-c3cc4c(OC)c5sc(cc5c(OC)c4s3)-c3cc4-c5ccccc5\C(=C5/c6ccccc6-c6cc(C)sc56)c4s3)c2s1,S444,-5.29,-3.81
PIDT-diphQ,1.81,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc4c(cc3-c3sc(C)cc32)C(c2ccc(CCCCCC)cc2)(c2ccc(CCCCCC)cc2)c2cc(-c3ccc(C)c5nc(-c6ccccc6)c(-c6ccccc6)nc35)sc2-4)cc1,Cc1cc2c(s1)-c1cc3c(cc1C2(c1ccccc1)c1ccccc1)-c1sc(cc1C3(c1ccccc1)c1ccccc1)-c1ccc(-c2cc3c(s2)-c2cc4c(cc2C3(c2ccccc2)c2ccccc2)-c2sc(cc2C4(c2ccccc2)c2ccccc2)-c2ccc(C)c3nc(-c4ccccc4)c(nc23)-c2ccccc2)c2nc(-c3ccccc3)c(nc12)-c1ccccc1,S316,-5.33,-3.52
PDST-BDD,1.83,CCCCCCSc1sc(-c2c3cc(-c4ccc(-c5sc(-c6ccc(C)s6)c6c5C(=O)c5c(CC(CC)CCCC)sc(CC(CC)CCCC)c5C6=O)s4)sc3c(-c3cc(SCCCC)c(SCCCCCC)s3)c3cc(C)sc23)cc1SCCCC,Cc1ccc(s1)-c1sc(-c2ccc(s2)-c2cc3c(-c4cccs4)c4sc(cc4c(-c4cccs4)c3s2)-c2ccc(s2)-c2sc(-c3ccc(s3)-c3cc4c(-c5cccs5)c5sc(C)cc5c(-c5cccs5)c4s3)c3c2C(=O)c2c(C)sc(C)c2C3=O)c2c1C(=O)c1c(C)sc(C)c1C2=O,S189,-5.52,-3.6899999999999995
PtBTPIDT,1.5,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc4c(cc3-c3sc(C)cc32)C(c2ccc(CCCCCC)cc2)(c2ccc(CCCCCC)cc2)c2cc(-c3cc5c(s3)/C(=C3\c6ccccc6-c6cc(C)sc63)c3ccccc3-5)sc2-4)cc1,Cc1cc2-c3ccccc3\C(=C3\c4ccccc4-c4cc(sc34)-c3cc4c(s3)-c3cc5c(cc3C4(c3ccccc3)c3ccccc3)-c3sc(cc3C5(c3ccccc3)c3ccccc3)-c3cc4-c5ccccc5\C(=C5\c6ccccc6-c6cc(sc56)-c5cc6c(s5)-c5cc7c(cc5C6(c5ccccc5)c5ccccc5)-c5sc(C)cc5C7(c5ccccc5)c5ccccc5)c4s3)c2s1,S444,-5.28,-3.7800000000000002
PECz-DTQx,1.7,CCCCCCCCOc1ccc(-c2nc3c(-c4ccc(C)s4)ccc(-c4ccc(-c5cc6c7c8c(cc(C)cc8n(C(CCCCCCCC)CCCCCCCC)c7c5)CC6)s4)c3nc2-c2ccc(OCCCCCCCC)cc2)cc1,Cc1ccc(s1)-c1ccc(-c2ccc(s2)-c2cc3CCc4cc(cc5n(C)c(c2)c3c45)-c2ccc(s2)-c2ccc(-c3ccc(s3)-c3cc4CCc5cc(C)cc6n(C)c(c3)c4c56)c3nc(-c4ccccc4)c(nc23)-c2ccccc2)c2nc(-c3ccccc3)c(nc12)-c1ccccc1,S351,-5.15,-3.45
PBDTDTffBT-R,1.75,CCCCCCCCC(CCCCCC)COc1c2cc(-c3sc(-c4c(F)c(F)c(-c5cc(CC(CC)CCCC)c(C)s5)c5nsnc45)cc3CC(CC)CCCC)sc2c(-c2ccc(OCC(CC)CCCC)cc2)c2cc(C)sc12,COc1c2cc(sc2c(-c2ccccc2)c2cc(C)sc12)-c1sc(cc1C)-c1c(F)c(F)c(-c2cc(C)c(s2)-c2cc3c(-c4ccccc4)c4sc(cc4c(OC)c3s2)-c2sc(cc2C)-c2c(F)c(F)c(-c3cc(C)c(C)s3)c3nsnc23)c2nsnc12,S415,-5.03,-3.2800000000000002
PDTTDPP-EH,1.42,CCCCCCCCCCCCc1cc(C)sc1-c1cc2sc3cc(-c4sc(-c5ccc(C6=C7C(=O)N(CC(CC)CCCC)C(c8ccc(C)s8)=C7C(=O)N6CC(CC)CCCC)s5)cc4CCCCCCCCCCCC)sc3c2s1,CN1C(=O)C2=C(N(C)C(=O)C2=C1c1ccc(C)s1)c1ccc(s1)-c1cc(C)c(s1)-c1cc2sc3cc(sc3c2s1)-c1sc(C)cc1C,S499,-5.11,-3.6900000000000004
PBDTDTBT-R,1.72,CCCCCCCCC(CCCCCC)COc1c2cc(-c3sc(-c4ccc(-c5cc(CC(CC)CCCC)c(C)s5)c5nsnc45)cc3CC(CC)CCCC)sc2c(-c2ccc(OCC(CC)CCCC)cc2)c2cc(C)sc12,Cc1cc2c(-c3ccccc3)c3sc(cc3cc2s1)-c1sc(cc1C)-c1ccc(-c2cc(C)c(s2)-c2cc3c(-c4ccccc4)c4sc(cc4cc3s2)-c2sc(cc2C)-c2ccc(-c3cc(C)c(C)s3)c3nsnc23)c2nsnc12,S415,-5.01,-3.29
P4TPDTQ,1.83,CCCCC(CC)COc1ccc(-c2nc3c(-c4ccc(C)s4)ccc(-c4ccc(-c5sc(-c6cc(-c7ccc(CC(CC)CCCC)s7)c(C)s6)cc5-c5ccc(C[C@@H](CC)CCCC)s5)s4)c3nc2-c2ccc(OCC(CC)CCCC)cc2)cc1,Cc1ccc(s1)-c1ccc(-c2ccc(s2)-c2sc(cc2-c2cccs2)-c2cc(-c3cccs3)c(s2)-c2ccc(s2)-c2ccc(-c3ccc(s3)-c3sc(cc3-c3cccs3)-c3cc(c(C)s3)-c3cccs3)c3nc(-c4ccccc4)c(nc23)-c2ccccc2)c2nc(-c3ccccc3)c(nc12)-c1ccccc1,S29,-5.28,-3.45
PTzNTz-EHBO,1.58,CCCCCCC(CCCC)Cc1cc(-c2cc3c(cc(-c4cc(CC(CCCC)CCCCCC)c(-c5cc(CC(CC)CCCC)c(-c6nc7sc(-c8sc(C)cc8CC(CC)CCCC)nc7s6)s5)s4)c4nsnc43)c3nsnc23)sc1C,Cc1cc(C)c(s1)-c1nc2sc(nc2s1)-c1sc(cc1C)-c1sc(cc1C)-c1cc2c3nsnc3c(cc2c2nsnc12)-c1cc(C)c(C)s1,S108,-5.41,-3.83
PV-BDTC1,2.07,CCCCCCC(CCCC)COC(=O)c1cc2c(-c3ccc(-c4cc5c(OCC(CC)CCCC)c6sc(C)cc6c(OCC(CC)CCCC)c5s4)s3)c3sc(C(=O)OCC(CCCC)CCCCCC)cc3c(-c3ccc(C)s3)c2s1,COC(=O)c1cc2c(-c3ccc(C)s3)c3sc(cc3c(-c3ccc(s3)-c3cc4c(OC)c5sc(cc5c(OC)c4s3)-c3ccc(s3)-c3c4cc(sc4c(-c4ccc(s4)-c4cc5c(OC)c6sc(C)cc6c(OC)c5s4)c4cc(sc34)C(=O)OC)C(=O)OC)c2s1)C(=O)OC,S166,-5.56,-3.4899999999999998
PBPT-12,1.53,CCCCCCCCCCCCc1ccc(-c2c3cc(-c4sc(-c5cnc(-c6cc(CC(CC)CCCC)c(C)s6)c6nsnc56)cc4CC(CC)CCCC)sc3c(-c3ccc(CCCCCCCCCCCC)s3)c3cc(C)sc23)s1,Cc1cc2c(-c3cccs3)c3sc(cc3c(-c3cccs3)c2s1)-c1sc(cc1C)-c1cnc(-c2cc(C)c(s2)-c2cc3c(-c4cccs4)c4sc(cc4c(-c4cccs4)c3s2)-c2sc(cc2C)-c2cnc(-c3cc(C)c(C)s3)c3nsnc23)c2nsnc12,S65,-5.44,-3.91
PQTDPP,1.36,CCCCCCCCCCCCc1cc(C)sc1-c1ccc(-c2ccc(-c3sc(-c4ccc(C5=C6C(=O)N(CC(CC)CCCC)C(c7ccc(C)s7)=C6C(=O)N5CC(CC)CCCC)s4)cc3CCCCCCCCCCCC)s2)s1,CN1C(=O)C2=C(N(C)C(=O)C2=C1c1ccc(C)s1)c1ccc(s1)-c1cc(C)c(s1)-c1ccc(s1)-c1ccc(s1)-c1sc(C)cc1C,S385,-5.19,-3.83
PBDTHD-CIBTEH,1.71,CCCCCCCCC(CCCCCC)Cc1ccc(-c2c3cc(-c4ccc(-c5cc(Cl)c(-c6cc(CC(CC)CCCC)c(C)s6)c6nsnc56)s4)sc3c(-c3ccc(CC(CCCCCC)CCCCCCCC)s3)c3cc(C)sc23)s1,Cc1cc2c(-c3cccs3)c3sc(cc3c(-c3cccs3)c2s1)-c1ccc(s1)-c1cc(Cl)c(-c2cc(C)c(s2)-c2cc3c(-c4cccs4)c4sc(cc4c(-c4cccs4)c3s2)-c2ccc(s2)-c2cc(Cl)c(-c3cc(C)c(C)s3)c3nsnc23)c2nsnc12,S420,-5.53,-3.8200000000000003
PBDT-TPD (P11),1.89,CCCCCCCCCCCCN1C(=O)c2c(-c3cc(CCCCCCCC)c(C)s3)sc(-c3cc(CCCCCCCC)c(-c4cc5c(OCC(CC)CCCC)c6sc(C)cc6c(OCC(CC)CCCC)c5s4)s3)c2C1=O,COc1c2cc(C)sc2c(OC)c2cc(sc12)-c1sc(cc1C)-c1sc(-c2cc(C)c(s2)-c2cc3c(OC)c4sc(cc4c(OC)c3s2)-c2sc(cc2C)-c2sc(-c3cc(C)c(C)s3)c3C(=O)N(C)C(=O)c23)c2C(=O)N(C)C(=O)c12,S225,-5.73,-3.8400000000000007
PBDT2FBT-T,1.75,CCCCCCC(CCCC)Cc1ccc(-c2c3cc(C)sc3c(-c3ccc(C[C@@H](CCCC)CCCCCC)s3)c3cc(-c4sc(-c5c(F)c(F)c(-c6cc(CC(CC)CCCC)c(C)s6)c6nsnc56)cc4CC(CC)CCCC)sc23)s1,Cc1cc2c(-c3cccs3)c3sc(cc3c(-c3cccs3)c2s1)-c1sc(cc1C)-c1c(F)c(F)c(-c2cc(C)c(s2)-c2cc3c(-c4cccs4)c4sc(cc4c(-c4cccs4)c3s2)-c2sc(cc2C)-c2c(F)c(F)c(-c3cc(C)c(C)s3)c3nsnc23)c2nsnc12,S218,-5.55,-3.8
PBDT_TEH-HDO_H-BTff,1.7,CCCCCCCCC(CCCCCC)COc1c2cc(-c3sc(-c4c(F)c(F)c(-c5cc(CCCCCC)c(C)s5)c5nsnc45)cc3CCCCCC)sc2c(OCC(CCCCCC)CCCCCCCC)c2cc(C)sc12,COc1c2cc(sc2c(OC)c2cc(C)sc12)-c1sc(cc1C)-c1c(F)c(F)c(-c2cc(C)c(s2)-c2cc3c(OC)c4sc(cc4c(OC)c3s2)-c2sc(cc2C)-c2c(F)c(F)c(-c3cc(C)c(C)s3)c3nsnc23)c2nsnc12,S75,-5.31,-3.6099999999999994
PBDT2FBT-T1,1.75,CCCCCCC(CCCC)Cc1ccc(-c2c3cc(-c4sc(-c5c(F)c(F)c(-c6cc(CC(CC)CCCC)c(C)s6)c6nsnc56)cc4CC(CC)CCCC)sc3c(-c3ccc(CC(CCCC)CCCCCC)s3)c3cc(C)sc23)s1,Cc1cc2c(-c3cccs3)c3sc(cc3c(-c3cccs3)c2s1)-c1sc(cc1C)-c1c(F)c(F)c(-c2cc(C)c(s2)-c2cc3c(-c4cccs4)c4sc(cc4c(-c4cccs4)c3s2)-c2sc(cc2C)-c2c(F)c(F)c(-c3cc(C)c(C)s3)c3nsnc23)c2nsnc12,S198,-5.47,-3.7199999999999998
BDT-BT-2T,1.63,CCCCCCCCCCc1cc(-c2c3cc(-c4ccc(-c5ccc(-c6ccc(C)s6)c6nsnc56)s4)sc3c(-c3cc(CCCCCCCCCC)c(CCCCCCCCCC)s3)c3cc(C)sc23)sc1CCCCCCCCCC,Cc1ccc(s1)-c1ccc(-c2ccc(s2)-c2cc3c(-c4cccs4)c4sc(cc4c(-c4cccs4)c3s2)-c2ccc(s2)-c2ccc(-c3ccc(s3)-c3cc4c(-c5cccs5)c5sc(C)cc5c(-c5cccs5)c4s3)c3nsnc23)c2nsnc12,S216,-5.18,-3.55
P2,1.74,CCCCCCCCOc1c(OCCCCCCCC)c(-c2ccc(-c3cc4c(-c5ccc(-c6cccc(OCC(CC)CCCC)c6)s5)c5sc(C)cc5c(-c5ccc(-c6cccc(OCC(CC)CCCC)c6)s5)c4s3)s2)c2nsnc2c1-c1ccc(C)s1,COc1c(OC)c(-c2ccc(s2)-c2cc3c(-c4cccs4)c4sc(cc4c(-c4cccs4)c3s2)-c2ccc(s2)-c2c(OC)c(OC)c(-c3ccc(s3)-c3cc4c(-c5cccs5)c5sc(C)cc5c(-c5cccs5)c4s3)c3nsnc23)c2nsnc2c1-c1ccc(C)s1,S230,-5.34,-3.5999999999999996
INDT-T,1.57,CCCCCCCCCCC(CCCCCCCC)COc1ccc2c(c1)c1c(-c3ccc(C)s3)c(=O)n3c4ccc(OCC(CCCCCCCC)CCCCCCCCCC)cc4c4c(-c5ccc(-c6ccc(C)s6)s5)c(=O)n2c1c43,COc1ccc2c(c1)c1c(-c3ccc(C)s3)c(=O)n3c4ccc(OC)cc4c4c(-c5ccc(s5)-c5ccc(s5)-c5ccc(s5)-c5c6c7cc(OC)ccc7n7c6c6c(c(-c8ccc(s8)-c8ccc(C)s8)c7=O)c7cc(OC)ccc7n6c5=O)c(=O)n2c1c34,S228,-4.24,-2.67
BDT-FBT-2Fu,1.68,CCCCCCCCCCc1cc(-c2c3cc(-c4ccc(-c5c(F)c(F)c(-c6ccc(C)o6)c6nsnc56)o4)sc3c(-c3cc(CCCCCCCCCC)c(CCCCCCCCCC)s3)c3cc(C)sc23)sc1CCCCCCCCCC,Cc1ccc(o1)-c1c(F)c(F)c(-c2ccc(o2)-c2cc3c(-c4cccs4)c4sc(cc4c(-c4cccs4)c3s2)-c2ccc(o2)-c2c(F)c(F)c(-c3ccc(o3)-c3cc4c(-c5cccs5)c5sc(C)cc5c(-c5cccs5)c4s3)c3nsnc23)c2nsnc12,S216,-5.28,-3.6000000000000005
PBDT-FBT,1.63,CCCCCCCCCCCCc1ccc(-c2c3cc(-c4sc(-c5cc(F)c(-c6cc(CCCCCCCC)c(C)s6)c6nsnc56)cc4CCCCCCCC)sc3c(-c3ccc(CCCCCCCCCCCC)s3)c3cc(C)sc23)s1,Cc1cc2c(-c3cccs3)c3sc(cc3c(-c3cccs3)c2s1)-c1sc(cc1C)-c1cc(F)c(-c2cc(C)c(s2)-c2cc3c(-c4cccs4)c4sc(cc4c(-c4cccs4)c3s2)-c2sc(cc2C)-c2cc(F)c(-c3cc(C)c(C)s3)c3nsnc23)c2nsnc12,S209,-5.41,-3.7800000000000002
P3,1.1,CCCCCCC(CCCC)COc1ccc(N(c2ccc(OCC(CCCC)CCCCCC)cc2)c2ccc(-n3c4cc(C)ccc4c4ccc(-c5ccc(-c6c7nsnc7c(-c7ccc(C)s7)c7nc(-c8ccccc8)c(-c8ccccc8)nc67)s5)cc43)cc2)cc1,Cc1ccc(s1)-c1c2nsnc2c(-c2ccc(s2)-c2ccc3c(c2)n(-c2ccccc2)c2cc(ccc32)-c2ccc(s2)-c2c3nsnc3c(-c3ccc(s3)-c3ccc4c(c3)n(-c3ccccc3)c3cc(C)ccc43)c3nc(-c4ccccc4)c(nc23)-c2ccccc2)c2nc(-c3ccccc3)c(nc12)-c1ccccc1,S21,-4.8,-3.6999999999999997
PBDT-TPD (P10),1.88,CCCCCCCCCCCCN1C(=O)c2c(-c3sc(C)cc3CCCCCCCC)sc(-c3sc(-c4cc5c(OCC(CC)CCCC)c6sc(C)cc6c(OCC(CC)CCCC)c5s4)cc3CCCCCCCC)c2C1=O,COc1c2cc(sc2c(OC)c2cc(C)sc12)-c1cc(C)c(s1)-c1sc(-c2sc(cc2C)-c2cc3c(OC)c4sc(cc4c(OC)c3s2)-c2cc(C)c(s2)-c2sc(-c3sc(C)cc3C)c3C(=O)N(C)C(=O)c23)c2C(=O)N(C)C(=O)c12,S225,-5.56,-3.6799999999999997
BDT-BT-2Fu,1.77,CCCCCCCCCCc1cc(-c2c3cc(-c4ccc(-c5ccc(-c6ccc(C)o6)c6nsnc56)o4)sc3c(-c3cc(CCCCCCCCCC)c(CCCCCCCCCC)s3)c3cc(C)sc23)sc1CCCCCCCCCC,Cc1ccc(o1)-c1ccc(-c2ccc(o2)-c2cc3c(-c4cccs4)c4sc(cc4c(-c4cccs4)c3s2)-c2ccc(o2)-c2ccc(-c3ccc(o3)-c3cc4c(-c5cccs5)c5sc(C)cc5c(-c5cccs5)c4s3)c3nsnc23)c2nsnc12,S216,-5.36,-3.5900000000000003
BDT-FBT-2T,1.7,CCCCCCCCCCc1cc(-c2c3cc(-c4ccc(-c5c(F)c(F)c(-c6ccc(C)s6)c6nsnc56)s4)sc3c(-c3cc(CCCCCCCCCC)c(CCCCCCCCCC)s3)c3cc(C)sc23)sc1CCCCCCCCCC,Cc1ccc(s1)-c1c(F)c(F)c(-c2ccc(s2)-c2cc3c(-c4cccs4)c4sc(cc4c(-c4cccs4)c3s2)-c2ccc(s2)-c2c(F)c(F)c(-c3ccc(s3)-c3cc4c(-c5cccs5)c5sc(C)cc5c(-c5cccs5)c4s3)c3nsnc23)c2nsnc12,S216,-5.33,-3.63
PBDTT-DTFPQx,1.66,CCCCCCCCOc1c(OCCCCCCCC)c(-c2ccc(-c3cc4c(-c5ccc(CC(CC)CCCC)s5)c5sc(C)cc5c(-c5ccc(CC(CC)CCCC)s5)c4s3)s2)c2nc(-c3ccc(F)cc3)c(-c3ccc(F)cc3)nc2c1-c1ccc(C)s1,COc1c(OC)c(-c2ccc(s2)-c2cc3c(-c4cccs4)c4sc(cc4c(-c4cccs4)c3s2)-c2ccc(s2)-c2c(OC)c(OC)c(-c3ccc(s3)-c3cc4c(-c5cccs5)c5sc(C)cc5c(-c5cccs5)c4s3)c3nc(-c4ccc(F)cc4)c(nc23)-c2ccc(F)cc2)c2nc(-c3ccc(F)cc3)c(nc2c1-c1ccc(C)s1)-c1ccc(F)cc1,S438,-5.52,-3.8599999999999994
PTTPPz-BDT,1.7,CCCCCCCCOc1c(OCCCCCCCC)c(-c2ccc(-c3cc4c(OC[C@H](CC)CCCCCC)c5sc(C)cc5c(OCC(CC)CCCCCC)c4s3)s2)c2nc3c4cccc5ccc6cccc(c3nc2c1-c1ccc(C)s1)c6c54,COc1c(OC)c(-c2ccc(s2)-c2cc3c(OC)c4sc(cc4c(OC)c3s2)-c2ccc(s2)-c2c(OC)c(OC)c(-c3ccc(s3)-c3cc4c(OC)c5sc(C)cc5c(OC)c4s3)c3nc4c5cccc6ccc7cccc(c4nc23)c7c56)c2nc3c4cccc5ccc6cccc(c3nc2c1-c1ccc(C)s1)c6c45,S254,-5.29,-3.59
PBDTTFTQ-EH,1.68,CCCCCCCCOc1cccc(-c2nc3c(-c4ccc(C)s4)cc(F)c(-c4ccc(-c5cc6c(-c7ccc(CC(CC)CCCC)s7)c7sc(C)cc7c(-c7ccc(CC(CC)CCCC)s7)c6s5)s4)c3nc2-c2cccc(OCCCCCCCC)c2)c1,Cc1ccc(s1)-c1cc(F)c(-c2ccc(s2)-c2cc3c(-c4cccs4)c4sc(cc4c(-c4cccs4)c3s2)-c2ccc(s2)-c2cc(F)c(-c3ccc(s3)-c3cc4c(-c5cccs5)c5sc(C)cc5c(-c5cccs5)c4s3)c3nc(-c4ccccc4)c(nc23)-c2ccccc2)c2nc(-c3ccccc3)c(nc12)-c1ccccc1,S253,-5.29,-3.6100000000000003
PBDTT-SeDPP,1.38,CCCCCCC(CCCC)CN1C(=O)C2=C(c3ccc(-c4cc5c(-c6ccc(CC(CC)CCCC)s6)c6sc(C)cc6c(-c6ccc(CC(CC)CCCC)s6)c5s4)[se]3)N(CC(CCCC)CCCCCC)C(=O)C2=C1c1ccc(C)[se]1,CN1C(=O)C2=C(N(C)C(=O)C2=C1c1ccc(C)[se]1)c1ccc([se]1)-c1cc2c(-c3cccs3)c3sc(cc3c(-c3cccs3)c2s1)-c1ccc([se]1)C1=C2C(=O)N(C)C(=C2C(=O)N1C)c1ccc([se]1)-c1cc2c(-c3cccs3)c3sc(C)cc3c(-c3cccs3)c2s1,S90,-5.25,-3.87
PBDT-FBTA,1.91,CCCCCCCCC(CCCCCC)Cc1ccc(-c2c3cc(-c4ccc(-c5c(F)c(F)c(-c6ccc(C)s6)c6nn(CCCCCCCC)nc56)s4)sc3c(-c3ccc(CC(CCCCCC)CCCCCCCC)s3)c3cc(C)sc23)s1,Cc1ccc(s1)-c1c(F)c(F)c(-c2ccc(s2)-c2cc3c(-c4cccs4)c4sc(cc4c(-c4cccs4)c3s2)-c2ccc(s2)-c2c(F)c(F)c(-c3ccc(s3)-c3cc4c(-c5cccs5)c5sc(C)cc5c(-c5cccs5)c4s3)c3nn(C)nc23)c2nn(C)nc12,S168,-5.26,-3.3499999999999996
PBQ-2,1.66,CCCCCCCCOc1ccc(-c2nc3c(-c4ccc(C)s4)ccc(-c4ccc(-c5cc6c(-c7cc(F)c(CC(CC)CCCC)s7)c7sc(C)cc7c(-c7cc(F)c(CC(CC)CCCC)s7)c6s5)s4)c3nc2-c2ccc(OCCCCCCCC)cc2)cc1,Cc1ccc(s1)-c1ccc(-c2ccc(s2)-c2cc3c(-c4cc(F)cs4)c4sc(cc4c(-c4cc(F)cs4)c3s2)-c2ccc(s2)-c2ccc(-c3ccc(s3)-c3cc4c(-c5cc(F)cs5)c5sc(C)cc5c(-c5cc(F)cs5)c4s3)c3nc(-c4ccccc4)c(nc23)-c2ccccc2)c2nc(-c3ccccc3)c(nc12)-c1ccccc1,S41,-4.86,-3.2
PBQ-3,1.68,CCCCCCCCOc1ccc(-c2nc3c(-c4ccc(C)s4)c(F)c(F)c(-c4ccc(-c5cc6c(-c7ccc(CC(CC)CCCC)s7)c7sc(C)cc7c(-c7ccc(CC(CC)CCCC)s7)c6s5)s4)c3nc2-c2ccc(OCCCCCCCC)cc2)cc1,Cc1ccc(s1)-c1c(F)c(F)c(-c2ccc(s2)-c2cc3c(-c4cccs4)c4sc(cc4c(-c4cccs4)c3s2)-c2ccc(s2)-c2c(F)c(F)c(-c3ccc(s3)-c3cc4c(-c5cccs5)c5sc(C)cc5c(-c5cccs5)c4s3)c3nc(-c4ccccc4)c(nc23)-c2ccccc2)c2nc(-c3ccccc3)c(nc12)-c1ccccc1,S41,-4.92,-3.24
P5,1.66,CCCCCCCCCCC(CCCCCCCCCC)CCOc1c(OCCC(CCCCCCCCCC)CCCCCCCCCC)c(-c2ccc(-c3c(F)c(F)c(-c4ccc(C)s4)c4nsnc34)s2)c2nsnc2c1C,COc1c(C)c2nsnc2c(-c2ccc(s2)-c2c(F)c(F)c(-c3ccc(s3)-c3c(OC)c(OC)c(-c4ccc(s4)-c4c(F)c(F)c(-c5ccc(C)s5)c5nsnc45)c4nsnc34)c3nsnc23)c1OC,S482,-5.61,-3.95
PBDT-PTQ,1.62,CCCCCCCCOc1c2cc(-c3ccc(-c4ccc(-c5ccc(C)s5)c5nc(-c6ccc(-c7cc(CCCCCCCC)cs7)cc6)c(-c6ccc(-c7cc(CCCCCCCC)cs7)cc6)nc45)s3)sc2c(OCCCCCCCC)c2cc(C)sc12,COc1c2cc(sc2c(OC)c2cc(C)sc12)-c1ccc(s1)-c1ccc(-c2ccc(s2)-c2cc3c(OC)c4sc(cc4c(OC)c3s2)-c2ccc(s2)-c2ccc(-c3ccc(C)s3)c3nc(-c4ccccc4)c(nc23)-c2ccccc2)c2nc(-c3ccccc3)c(nc12)-c1ccccc1,S243,-5.11,-3.49
