Nickname,Ref. No,PCE_max(%),PCE_ave(%),Voc (V),Jsc (mA cm^2),FF,Mw (kg mol^-1),Mn (kg mol^-1),PDI (=Mw/Mn),Monomer (g mol^-1),-HOMO (eV),-LUMO (eV),bandgap(eV),SMILES,c_smiles,no_atom,no_atom_w_H,mol_weight,aromatic_ring
PBTFDO,S236,0.27,0.27,0.79,1.2,0.45,22.0,11.6 ,1.90 ,660,5.45,3.92,1.57,CC(S1)=CC2=C1C(OCC(CC)CCCC)=C(C=C(C3=C4C(C(C(F)(F)C4=O)=O)=C(C)S3)S5)C5=C2OCC(CCCC)CC,CCCCC(CC)COc1c2cc(-c3sc(C)c4c3C(=O)C(F)(F)C4=O)sc2c(OCC(CC)CCCC)c2cc(C)sc12,44,86,660.9140000000017,4
PBDTT,S120,6.12,6.12,0.93,11.95,0.55,49.7,18.7 ,2.70 ,606,5.44,3.46,2.13,CC1=CC2=C(C(C3=CC=C(CC(CCCC)CC)S3)=C(C=C(C)S4)C4=C2C5=CC=C(CC(CCCC)CC)S5)S1,CCCCC(CC)Cc1ccc(-c2c3cc(C)sc3c(-c3ccc(CC(CC)CCCC)s3)c3cc(C)sc23)s1,40,86,607.0320000000021,5
PBDT-3MT,S128,4.52,4.52,0.86,10.5,0.5,92.0,26.4 ,3.90 ,614,5.43,3.36,2.07,CC1=C(C(OC)=O)C=C(S1)C(S2)=CC3=C2C(OCC(CCCC)CC)=C(C=C(C)S4)C4=C3OCC(CCCC)CC,CCCCC(CC)COc1c2cc(-c3cc(C(=O)OC)c(C)s3)sc2c(OCC(CC)CCCC)c2cc(C)sc12,41,87,614.939000000002,4
PDTBTFV,S381,1.24,1.24,0.83,4.32,0.346,43.7,9.8 ,4.46 ,646,5.2,3.14,1.79,CC1=CC=C(C2=C(OCCCCCCCC)C(OCCCCCCCC)=C(C3=CC=C(/C(F)=C(F)/C)S3)C4=NSN=C24)S1,CCCCCCCCOc1c(OCCCCCCCC)c(-c2ccc(/C(F)=C(/C)F)s2)c2nsnc2c1-c1ccc(C)s1,43,87,646.9350000000018,4
PDTBTV,S381,0.46,0.46,0.43,3.15,0.335,36.9,7.9 ,4.67 ,610,5.01,3.03,1.69,CC1=CC=C(C2=C(OCCCCCCCC)C(OCCCCCCCC)=C(C3=CC=C(/C=C/C)S3)C4=NSN=C24)S1,C/C=C/c1ccc(-c2c(OCCCCCCCC)c(OCCCCCCCC)c(-c3ccc(C)s3)c3nsnc23)s1,41,87,610.955000000002,4
PTVTPD,S301,7.16,6.97,0.88,12.32,0.66,57.8,41.0 ,1.41 ,609,5.48,3.32,1.77,CC1=CC=C(/C=C/C2=CC=C(C3=C4C(C(N(C(CCCCCCCC)CCCCCCCC)C4=O)=O)=C(C)S3)S2)S1,CCCCCCCCC(CCCCCCCC)N1C(=O)c2c(C)sc(-c3ccc(/C=C/c4ccc(C)s4)s3)c2C1=O,41,88,609.967000000002,3
PBTT-BT (P1),S396,2.18,2.18,0.81,6.07,0.44,254.2,41.0 ,6.20 ,646,5.09,3.34,1.75,CC(C1=NSN=C12)=CC=C2C3=CC(C4=C5SC(C(CCCCCCCC)CCCCCCCC)=C4)=C(S3)C6=C5C=C(C)S6,CCCCCCCCC(CCCCCCCC)c1cc2c3cc(-c4ccc(C)c5nsnc45)sc3c3sc(C)cc3c2s1,43,89,647.0570000000018,6
PNB-3,S399,0.62,0.62,0.66,2.76,0.34,26.5,14.8 ,1.79 ,658,5.22,3.44,1.63,CC1=CC2=C(C(SC(C3=CC=C(C)C4=NSN=C34)=C5)=C5C6=C2C=C(OCC(CCCC)CC)C(OCC(CCCC)CC)=C6)S1,CCCCC(CC)COc1cc2c(cc1OCC(CC)CCCC)c1cc(-c3ccc(C)c4nsnc34)sc1c1sc(C)cc21,45,91,658.9990000000018,6
PITFBT,S143,9.14,9.14,0.9,15.36,0.659,43.6,27.8 ,1.57 ,658,5.5,3.68,1.8,CC1=CC=C(C2=CC=C(C(SC(C3=C(F)C=C(C)C4=NSN=C43)=C5)=C5C6(CC(CC)CCCC)CC(CCCC)CC)C6=C2)S1,CCCCC(CC)CC1(CC(CC)CCCC)c2cc(-c3ccc(C)s3)ccc2-c2sc(-c3c(F)cc(C)c4nsnc34)cc21,45,92,659.0180000000018,5
poly(NTD-TPA),S114,1.52,1.52,0.76,6.02,0.33,8.2,5.9 ,1.50 ,627,5.4,3.37,2.03,CC1=CC=C(N(C2=CC=C(C3=CC(C(C=CC=C4)=C4C(C)=C5)=C5C6=C3C=CC=C6)C=C2)C7=CC=C(CCCCCCCC)C=C7)C=C1,CCCCCCCCc1ccc(N(c2ccc(C)cc2)c2ccc(-c3cc4c5ccccc5c(C)cc4c4ccccc34)cc2)cc1,47,92,611.873000000002,7
P2,S127,3.44,3.44,0.64,9.3,0.58,150.0,44.0 ,3.40 ,664,5.22,3.26,1.96,CC1=C(/C=C/C2=CC=CS2)C=C(S1)C(S3)=CC4=C3C(OCC(CCCC)CC)=C(C=C(C)S5)C5=C4OCC(CCCC)CC,CCCCC(CC)COc1c2cc(-c3cc(/C=C/c4cccs4)c(C)s3)sc2c(OCC(CC)CCCC)c2cc(C)sc12,44,92,665.0680000000019,5
PITBT,S143,5.92,5.92,0.94,12.51,0.502,25.6,12.6 ,2.03 ,640,5.48,3.66,1.82,CC1=CC=C(C2=CC=C(C(SC(C3=CC=C(C)C4=NSN=C43)=C5)=C5C6(CC(CC)CCCC)CC(CCCC)CC)C6=C2)S1,CCCCC(CC)CC1(CC(CC)CCCC)c2cc(-c3ccc(C)s3)ccc2-c2sc(-c3ccc(C)c4nsnc34)cc21,44,92,641.028000000002,5
PBTPDO,S236,4.84,4.84,0.73,10.68,0.62,25.3,11.5 ,2.20 ,664,5.42,3.51,1.75,CC(S1)=CC2=C1C(OCC(CC)CCCC)=C(C=C(C3=C4C(C(/C(C4=O)=C(C)/C)=O)=C(C)S3)S5)C5=C2OCC(CCCC)CC,CCCCC(CC)COc1c2cc(-c3sc(C)c4c3C(=O)C(=C(C)C)C4=O)sc2c(OCC(CC)CCCC)c2cc(C)sc12,45,93,664.999000000002,4
P3,S127,4.49,4.49,0.73,11.49,0.53,23.0,16.0 ,1.44 ,689,5.37,3.47,1.9,CC1=C(/C=C(C#N)/C2=CC=CS2)C=C(S1)C(S3)=CC4=C3C(OCC(CCCC)CC)=C(C=C(C)S5)C5=C4OCC(CCCC)CC,CCCCC(CC)COc1c2cc(-c3cc(/C=C(\C#N)c4cccs4)c(C)s3)sc2c(OCC(CC)CCCC)c2cc(C)sc12,46,93,690.0780000000018,5
PTTIBT,S500,0.85,0.85,0.62,3.28,0.42,24.0,18.0 ,1.30 ,655,5.32,3.5,1.68,CC1=CC=C(C2=CC3=C(C(SC(C4=CC=C(C)C5=NSN=C54)=C6)=C6N3C(CCCCCCCC)CCCCCCCC)C=C2)S1,CCCCCCCCC(CCCCCCCC)n1c2cc(-c3ccc(C)s3)ccc2c2sc(-c3ccc(C)c4nsnc34)cc21,45,94,656.043000000002,6
PDTPDFBT,S345,7.9,7.9,0.68,17.8,0.65,50.0,20.0 ,2.50 ,672,5.26,3.61,1.38,CC1=CC(C(CCC(CCCC(C)C)C)(CCC(CCCC(C)C)C)O2)=C(C3=C2C=C(C4=C(F)C(F)=C(C)C5=NSN=C45)S3)S1,Cc1cc2c(s1)-c1sc(-c3c(F)c(F)c(C)c4nsnc34)cc1OC2(CCC(C)CCCC(C)C)CCC(C)CCCC(C)C,45,95,673.017000000002,4
