Nickname,Ref. No,PCE_max(%),PCE_ave(%),Voc (V),Jsc (mA cm^2),FF,Mw (kg mol^-1),Mn (kg mol^-1),PDI (=Mw/Mn),Monomer (g mol^-1),-HOMO (eV),-LUMO (eV),bandgap(eV),SMILES,c_smiles,no_atom,no_atom_w_H,mol_weight,aromatic_ring
PBDTO-MIM,S268,4.98,4.9,0.73,10.7,0.64,190.5,63.5 ,3.00 ,1375,5.87,3.91,1.66,O=C(N1CC(CCCCCCCC)CCCCCC)/C(C2=C1C=C(C)C=C2)=C3C(N(CC(CCCCCC)CCCCCCCC)C4=CC(C5=CC(C)=C(C6=CC7=C(OCC(CCCC)CC)C8=C(C=C(C9=C(C)C=C(C)S9)S8)C(OCC(CCCC)CC)=C7S6)S5)=CC=C4/3)=O,CCCCCCCCC(CCCCCC)CN1C(=O)/C(=C2/C(=O)N(CC(CCCCCC)CCCCCCCC)c3cc(-c4cc(C)c(-c5cc6c(OCC(CC)CCCC)c7sc(-c8sc(C)cc8C)cc7c(OCC(CC)CCCC)c6s5)s4)ccc32)c2ccc(C)cc21,96,218,1376.2000000000037,7
PBBDTBT,S489,4.57,4.5,0.73,8.94,0.7,130.0,43.0 ,3.00 ,1437,5.43,3.67,1.76,CC1=CC2=C(C(C3=CC=C(OCCCCCCCC)C(OCCCCCCCC)=C3)=C(C=C(C4=CC=C(C5=C(OCCCCCCCC)C(OCCCCCCCC)=C(C6=CC=C(C)S6)C7=NSN=C57)S4)S8)C8=C2C9=CC(OCCCCCCCC)=C(OCCCCCCCC)C=C9)S1,CCCCCCCCOc1ccc(-c2c3cc(-c4ccc(-c5c(OCCCCCCCC)c(OCCCCCCCC)c(-c6ccc(C)s6)c6nsnc56)s4)sc3c(-c3ccc(OCCCCCCCC)c(OCCCCCCCC)c3)c3cc(C)sc23)cc1OCCCCCCCC,99,219,1438.2490000000034,9
PCBTDPPcbp,S262,1.2,1.1,0.8,4.72,0.319,70.8,28.1 ,2.52 ,1422,5.43,3.38,2.05,CC1=CC=C(C(N(CCCCCCCCCCCCC2=CC=C(C3=CC=C(C#N)C=C3)C=C2)C4=O)=C(C4=C(C(S5)=CC=C5C6=CC7=C(C8=CC=C(C)C=C8N7C(CCCCCCCC)CCCCCCCC)C=C6)N9CCCCCCCCCCCCC%10=CC=C(C%11=CC=C(C#N)C=C%11)C=C%10)C9=O)S1,CCCCCCCCC(CCCCCCCC)n1c2cc(C)ccc2c2ccc(-c3ccc(C4=C5C(=O)N(CCCCCCCCCCCCc6ccc(-c7ccc(C#N)cc7)cc6)C(c6ccc(C)s6)=C5C(=O)N4CCCCCCCCCCCCc4ccc(-c5ccc(C#N)cc5)cc4)s3)cc21,104,219,1423.132000000003,9
PBDT-DTBT,S107,2.11,2.11,1.0,5.8,0.346,130.0,40.5 ,3.20 ,1409,5.26,3.1,1.73,CC(S1)=CC2=C1C(C3=CC(CCCCCCCCCC)=C(CCCCCCCCCC)S3)=C(C=C(C4=C(CCCCCC)C=C(C5=CC=C(C6=CC(CCCCCC)=C(C)S6)C7=NSN=C57)S4)S8)C8=C2C9=CC(CCCCCCCCCC)=C(CCCCCCCCCC)S9,CCCCCCCCCCc1cc(-c2c3cc(-c4sc(-c5ccc(-c6cc(CCCCCC)c(C)s6)c6nsnc56)cc4CCCCCC)sc3c(-c3cc(CCCCCCCCCC)c(CCCCCCCCCC)s3)c3cc(C)sc23)sc1CCCCCCCCCC,95,219,1410.4210000000032,9
PBTTTTz,S397,1.07,1.03,0.62,3.09,0.56,104.9,22.7 ,4.62 ,1395,5.15,3.52,1.63,CC1=CC(C2=C3SC(CCCCCCCCCCCCCCCC)=C2)=C(S1)C4=C3C=C(C5=CC(OCCCCCCCCCCCCCCCCCCCC)=C(C6=NC(SC(C7=C(OCCCCCCCCCCCCCCCCCCCC)C=C(C)S7)=N8)=C8S6)S5)S4,CCCCCCCCCCCCCCCCCCCCOc1cc(C)sc1-c1nc2sc(-c3sc(-c4cc5c6sc(CCCCCCCCCCCCCCCC)cc6c6cc(C)sc6c5s4)cc3OCCCCCCCCCCCCCCCCCCCC)nc2s1,93,219,1396.3910000000037,8
PTzBT-EHOD,S83,5.8,5.6,0.88,10.3,0.64,1110.0,43.0 ,25.00 ,1423,5.21,3.41,1.8,CC1=CC(CC(CC)CCCC)=C(C2=NC(SC(C3=C(CC(CC)CCCC)C=C(C4=CC(CC(CCCCCCCC)CCCCCCCCCC)=C(C5=NC(SC(C6=C(CC(CCCCCCCCCC)CCCCCCCC)C=C(C)S6)=N7)=C7S5)S4)S3)=N8)=C8S2)S1,CCCCCCCCCCC(CCCCCCCC)Cc1cc(C)sc1-c1nc2sc(-c3sc(-c4cc(CC(CC)CCCC)c(-c5nc6sc(-c7sc(C)cc7CC(CC)CCCC)nc6s5)s4)cc3CC(CCCCCCCC)CCCCCCCCCC)nc2s1,94,220,1424.4740000000036,8
PTzBT-12HD,S83,4.8,4.6,0.81,10.0,0.6,29.0,24.0 ,1.20 ,1423,5.2,3.4,1.8,CC1=CC(CCCCCCCCCCCC)=C(C2=NC(SC(C3=C(CCCCCCCCCCCC)C=C(C4=CC(CC(CCCCCC)CCCCCCCC)=C(C5=NC(SC(C6=C(CC(CCCCCCCC)CCCCCC)C=C(C)S6)=N7)=C7S5)S4)S3)=N8)=C8S2)S1,CCCCCCCCCCCCc1cc(C)sc1-c1nc2sc(-c3sc(-c4cc(CC(CCCCCC)CCCCCCCC)c(-c5nc6sc(-c7sc(C)cc7CC(CCCCCC)CCCCCCCC)nc6s5)s4)cc3CCCCCCCCCCCC)nc2s1,94,220,1424.4740000000036,8
P2,S260,2.6,2.6,0.78,5.15,0.581,49.3,28.3 ,1.74 ,1453,5.26,3.89,1.37,CC1=CC=C(C(N(CC(CCCCCC)CCCCCCCC)C2=O)=C(C2=C(C(S3)=CC=C3C(S4)=CC(C4=C5C6=CC(C=C(CC(CCCC)CC)C=C7)=C7S6)=C(C8=CC(C=C(CC(CC)CCCC)C=C9)=C9S8)C%10=C5C=C(C)S%10)N%11CC(CCCCCCCC)CCCCCC)C%11=O)S1,CCCCCCCCC(CCCCCC)CN1C(=O)C2=C(c3ccc(-c4cc5c(-c6cc7cc(CC(CC)CCCC)ccc7s6)c6sc(C)cc6c(-c6cc7cc(CC(CC)CCCC)ccc7s6)c5s4)s3)N(CC(CCCCCC)CCCCCCCC)C(=O)C2=C1c1ccc(C)s1,100,220,1454.3640000000034,9
PTzBT-BOHD,S83,6.7,6.5,0.89,11.4,0.65,110.0,35.0 ,3.10 ,1423,5.23,3.43,1.8,CC1=CC(CC(CCCCCC)CCCC)=C(C2=NC(SC(C3=C(CC(CCCCCC)CCCC)C=C(C4=CC(CC(CCCCCCCC)CCCCCC)=C(C5=NC(SC(C6=C(CC(CCCCCCCC)CCCCCC)C=C(C)S6)=N7)=C7S5)S4)S3)=N8)=C8S2)S1,CCCCCCCCC(CCCCCC)Cc1cc(C)sc1-c1nc2sc(-c3sc(-c4cc(CC(CCCC)CCCCCC)c(-c5nc6sc(-c7sc(C)cc7CC(CCCC)CCCCCC)nc6s5)s4)cc3CC(CCCCCC)CCCCCCCC)nc2s1,94,220,1424.4740000000036,8
P4,S361,2.5,2.5,0.77,4.62,0.688,57.0,22.0 ,2.59 ,1383,5.1,3.5,1.6,CC(S1)=CC2=C1C3=C(N2CC(CCCCCCCCCC)CCCCCCCC)C=C(C(N4CC(CCCCCCCCCC)CCCCCCCC)=C3)C5=C4C=C(S5)C6=C7C(C(N(CC(CC)CCCC)C7=O)=O)=C(C8=C(C(N(CC(CC)CCCC)C9=O)=O)C9=C(C)S8)S6,CCCCCCCCCCC(CCCCCCCC)Cn1c2cc3c4sc(-c5sc(-c6sc(C)c7c6C(=O)N(CC(CC)CCCC)C7=O)c6c5C(=O)N(CC(CC)CCCC)C6=O)cc4n(CC(CCCCCCCC)CCCCCCCCCC)c3cc2c2sc(C)cc21,96,222,1384.2240000000033,7
BTT-TP,S115,0.35,0.35,0.993,0.764,0.468,16.4,10.3 ,1.59 ,1372,5.6,3.85,1.75,CC1=CC2=C(C(SC(C3=C(CC(CCCCCCCC)CCCCCCCCCC)C=C(C4=CN=C(C5=CC(CC(CCCCCCCC)CCCCCCCCCC)=C(C)S5)C6=NSN=C64)S3)=C7)=C7C8=C2SC(C(CCCCCCCC)CCCCCCCC)=C8)S1,CCCCCCCCCCC(CCCCCCCC)Cc1cc(-c2ncc(-c3cc(CC(CCCCCCCC)CCCCCCCCCC)c(-c4cc5c6cc(C(CCCCCCCC)CCCCCCCC)sc6c6cc(C)sc6c5s4)s3)c3nsnc23)sc1C,93,222,1373.3790000000042,8
PzIIG-BDT2TC8,S418,5.26,5.26,1.01,7.93,0.656,69.4,28.2 ,2.46 ,1419,5.48,3.64,1.63,CC1=CC(N(CCCCCCCC)C(C2=CC3=CN=C(/C=C4C(C=CC(C5=CC6=C(C(C7=CC(CCCCCCCC)=C(CCCCCCCC)S7)=C(C=C(C)S8)C8=C6C9=CC(CCCCCCCC)=C(CCCCCCCC)S9)S5)=C%10)=C%10N(CCCCCCCC)C\4=O)C=N3)=O)=C2C=C1,CCCCCCCCc1cc(-c2c3cc(-c4ccc5c(c4)N(CCCCCCCC)C(=O)/C5=C/c4cnc(C=C5C(=O)N(CCCCCCCC)c6cc(C)ccc65)cn4)sc3c(-c3cc(CCCCCCCC)c(CCCCCCCC)s3)c3cc(C)sc23)sc1CCCCCCCC,100,222,1420.2600000000034,8
P2-Ome,S457,2.92,2.92,0.76,7.59,0.506,114.6,67.4 ,1.70 ,1391,5.46,3.48,1.66,CC1=CC(N(C2=CC=C(OCC(CCCCCCCCCCCC)CCCCCCCCCC)C=C2)B(F)F)=C(C(N=CC(C3=CC(OC)=C(C4=C(OC)C=C(C)S4)S3)=C5)=C5N(B(F)F)C6=CC=C(OCC(CCCCCCCCCC)CCCCCCCCCCCC)C=C6)N=C1,CCCCCCCCCCCCC(CCCCCCCCCC)COc1ccc(N(B(F)F)c2cc(C)cnc2-c2ncc(-c3cc(OC)c(-c4sc(C)cc4OC)s3)cc2N(B(F)F)c2ccc(OCC(CCCCCCCCCC)CCCCCCCCCCCC)cc2)cc1,98,222,1391.6680000000035,6
BFS4b,S186,7.8,7.38,0.9,14.2,0.611,128.8,46.0 ,2.80 ,1655,5.15,3.59,1.56,CC(S1)=CC(C1=C2C3=CC=C(CC(CCCC)CC)S3)=C(C4=CC=C(CC(CCCC)CC)S4)C5=C2C=C(S5)C(C6=NSN=C67)=C(F)C=C7C8=CC9=C(C%10=CC(CCCCCC)=C(CC(CCCC)CC)S%10)C%11=C(C(C%12=CC(CCCCCC)=C(CC(CC)CCCC)S%12)=C9S8)C=C(C%13=CC(F)=C(C)C%14=NSN=C%14%13)S%11,CCCCCCc1cc(-c2c3cc(-c4cc(F)c(-c5cc6c(-c7ccc(CC(CC)CCCC)s7)c7sc(C)cc7c(-c7ccc(CC(CC)CCCC)s7)c6s5)c5nsnc45)sc3c(-c3cc(CCCCCC)c(CC(CC)CCCC)s3)c3cc(-c4cc(F)c(C)c5nsnc45)sc23)sc1CC(CC)CCCC,110,222,1656.624000000003,14
PDTPO-IDTT,S181,5.47,5.4,0.94,9.14,0.64,41.8,23.9 ,1.75 ,1420,5.31,3.27,2.04,CC1=CC(C(C2=CC=C(CCCCCC)C=C2)(C3=CC=C(CCCCCC)C=C3)C4=CC(C(SC(C5=CC6=C(C(SC(C)=C7)=C7N(CC(CCCCCCCCCC)CCCCCCCC)C6=O)S5)=C8)=C8C9(C%10=CC=C(CCCCCC)C=C%10)C%11=CC=C(CCCCCC)C=C%11)=C9C=C4%12)=C%12S1,CCCCCCCCCCC(CCCCCCCC)Cn1c(=O)c2cc(-c3cc4c(s3)-c3cc5c(cc3C4(c3ccc(CCCCCC)cc3)c3ccc(CCCCCC)cc3)-c3sc(C)cc3C5(c3ccc(CCCCCC)cc3)c3ccc(CCCCCC)cc3)sc2c2sc(C)cc21,101,222,1421.2870000000032,10
P-PDT-IIDBOBO,S183,5.28,5.18,0.82,10.7,0.6,106.1,56.9 ,1.87 ,1415,5.5,3.81,1.69,CC1=CC2=C(C(C=CC3=C4C=CC5=C3SC(C6=C(CC(CCCC)CCCCCC)C=C(C7=CC=C(/C(C(N8CC(CCCC)CCCCCC)=O)=C9C(N(CC(CCCCCC)CCCC)C%10=C\9C=CC(C%11=CC(CC(CCCCCC)CCCC)=C(C)S%11)=C%10)=O)C8=C7)S6)=C5)=C4C=C2)S1,CCCCCCC(CCCC)Cc1cc(-c2ccc3c(c2)N(CC(CCCC)CCCCCC)C(=O)/C3=C2/C(=O)N(CC(CCCC)CCCCCC)c3cc(-c4cc(CC(CCCC)CCCCCC)c(-c5cc6ccc7c8ccc9cc(C)sc9c8ccc7c6s5)s4)ccc32)sc1C,100,222,1416.2680000000034,9
BTT-FT,S115,1.01,1.01,0.919,2.04,0.54,24.8,20.0 ,1.24 ,1407,5.52,3.74,1.78,CC1=CC2=C(C(SC(C3=C(CC(CCCCCCCC)CCCCCCCCCC)C=C(C4=C(F)C(F)=C(C5=CC(CC(CCCCCCCC)CCCCCCCCCC)=C(C)S5)C6=NSN=C64)S3)=C7)=C7C8=C2SC(C(CCCCCCCC)CCCCCCCC)=C8)S1,CCCCCCCCCCC(CCCCCCCC)Cc1cc(-c2c(F)c(F)c(-c3cc(CC(CCCCCCCC)CCCCCCCCCC)c(-c4cc5c6cc(C(CCCCCCCC)CCCCCCCC)sc6c6cc(C)sc6c5s4)s3)c3nsnc23)sc1C,95,223,1408.371000000004,8
\82s\82s1,S97,0.6,0.6,0.56,2.83,0.38,32.0,18.8 ,1.70 ,1385,5.35,3.94,1.41,CC1=CC(CCCCCCCCCCCC)=C(C2=NC(SC(C3=C(CCCCCCCCCCCC)C=C(C4=CC=C5C(N(CC(CCCCCCCC)CCCCCC)C(/C5=C6C(SC(C)=C7)=C7N(CC(CCCCCC)CCCCCCCC)C\6=O)=O)=C4)S3)=N8)=C8S2)S1,CCCCCCCCCCCCc1cc(C)sc1-c1nc2sc(-c3sc(-c4ccc5c(c4)N(CC(CCCCCC)CCCCCCCC)C(=O)/C5=C4/C(=O)N(CC(CCCCCC)CCCCCCCC)c5cc(C)sc54)cc3CCCCCCCCCCCC)nc2s1,95,223,1386.3090000000036,6
PBDTT?ID,S271,4.76,4.76,0.88,8.95,0.6,88.7,36.8 ,2.41 ,1479,5.52,3.92,1.6,O=C(N1CC(CC)CCCC)/C(C2=C1C=C(C(S3)=CC=C3C4=CC(C(C5=CC(CCCCCCCC)=C(CCCCCCCC)S5)=C(SC(C)=C6)C6=C7C8=CC(CCCCCCCC)=C(CCCCCCCC)S8)=C7S4)C=C2)=C9C(N(CC(CCCC)CC)C%10=CC(C%11=CC=C(C)S%11)=CC=C%10/9)=O,CCCCCCCCc1cc(-c2c3cc(-c4ccc(-c5ccc6c(c5)N(CC(CC)CCCC)C(=O)/C6=C5/C(=O)N(CC(CC)CCCC)c6cc(-c7ccc(C)s7)ccc65)s4)sc3c(-c3cc(CCCCCCCC)c(CCCCCCCC)s3)c3cc(C)sc23)sc1CCCCCCCC,102,224,1480.4020000000035,9
PBDTT?FID,S271,7.04,7.04,0.92,11.3,0.68,98.6,37.2 ,2.65 ,1515,5.64,4.06,1.58,O=C(N1CC(CC)CCCC)/C(C2=C1C(F)=C(C(S3)=CC=C3C4=CC(C(C5=CC(CCCCCCCC)=C(CCCCCCCC)S5)=C(SC(C)=C6)C6=C7C8=CC(CCCCCCCC)=C(CCCCCCCC)S8)=C7S4)C=C2)=C9C(N(CC(CCCC)CC)C%10=C(F)C(C%11=CC=C(C)S%11)=CC=C%10/9)=O,CCCCCCCCc1cc(-c2c3cc(-c4ccc(-c5ccc6c(c5F)N(CC(CC)CCCC)C(=O)/C6=C5/C(=O)N(CC(CC)CCCC)c6c5ccc(-c5ccc(C)s5)c6F)s4)sc3c(-c3cc(CCCCCCCC)c(CCCCCCCC)s3)c3cc(C)sc23)sc1CCCCCCCC,104,224,1516.3820000000032,9
PBDTTFTTQ-DO,S253,7.25,7.09,0.85,11.3,0.757,863.6,136.0 ,6.35 ,1529,5.31,2.99,1.72,CC(S1)=CC=C1C2=CC(F)=C(C(S3)=CC=C3C(S4)=CC(C4=C5C6=CC(CCCCCCCC)=C(CCCCCCCC)S6)=C(C7=CC(CCCCCCCC)=C(CCCCCCCC)S7)C8=C5C=C(C)S8)C9=C2N=C(C%10=CC=C(CCCCCCCC)S%10)C(C%11=CC=C(CCCCCCCC)S%11)=N9,CCCCCCCCc1ccc(-c2nc3c(-c4ccc(C)s4)cc(F)c(-c4ccc(-c5cc6c(-c7cc(CCCCCCCC)c(CCCCCCCC)s7)c7sc(C)cc7c(-c7cc(CCCCCCCC)c(CCCCCCCC)s7)c6s5)s4)c3nc2-c2ccc(CCCCCCCC)s2)s1,103,224,1530.5280000000034,11
PDST-DPP,S189,3.14,3.14,0.88,6.59,0.541,220.4,95.0 ,2.32 ,1537,5.47,4.01,1.46,CC(S1)=CC2=C1C(C3=CC(SCCCC)=C(SCCCCCC)S3)=C(C=C(C4=CC=C(C(N(CC(CCCCCC)CCCCCCCC)C5=O)=C6C5=C(C7=CC=C(C)S7)N(CC(CCCCCCCC)CCCCCC)C6=O)S4)S8)C8=C2C9=CC(SCCCC)=C(SCCCCCC)S9,CCCCCCCCC(CCCCCC)CN1C(=O)C2=C(c3ccc(-c4cc5c(-c6cc(SCCCC)c(SCCCCCC)s6)c6sc(C)cc6c(-c6cc(SCCCC)c(SCCCCCC)s6)c5s4)s3)N(CC(CCCCCC)CCCCCCCC)C(=O)C2=C1c1ccc(C)s1,100,224,1538.6200000000035,7
PTBI2TR,S414,8.0,7.1,1.0,10.9,0.65,984.0,65.2 ,15.09 ,1421,5.58,3.31,1.71,O=C(N1CC(CCCCCC)CCCCCCCC)C2C=C(C)SC2C3=C(C(SC(C(SC(C4=C(CCCCCCCCCCCC)C=C(C5=CC(CCCCCCCCCCCC)=C(C)S5)S4)=C6)=C6C(N7CC(CCCCCC)CCCCCCCC)=O)=C8C7=O)=C8S3)C1=O,CCCCCCCCCCCCc1cc(-c2cc(CCCCCCCCCCCC)c(-c3cc4c(=O)n(CC(CCCCCC)CCCCCCCC)c(=O)c5c6sc7c(c6sc5c4s3)C(=O)N(CC(CCCCCC)CCCCCCCC)C(=O)C3C=C(C)SC73)s2)sc1C,96,224,1422.360000000004,6
PCDCTQX-C8,S335,1.8,1.8,0.78,5.8,0.4,14.2,5.6 ,2.53 ,1350,5.25,3.53,1.72,CC1=CC2=C(C(C=C(N(C(CCCCCCCC)CCCCCCCC)C3=C4C=C5C(C(SC(C6=CC=C(C)C7=C6N=C(C8=CC=CC=C8)C(C9=CC=CC=C9)=N7)=C%10)=C%10C5(CCCCCCCC)CCCCCCCC)=C3)C4=C%11)=C%11C2(CCCCCCCC)CCCCCCCC)S1,CCCCCCCCC(CCCCCCCC)n1c2cc3c(cc2c2cc4c(cc21)-c1sc(-c2ccc(C)c5nc(-c6ccccc6)c(-c6ccccc6)nc25)cc1C4(CCCCCCCC)CCCCCCCC)C(CCCCCCCC)(CCCCCCCC)c1cc(C)sc1-3,98,225,1351.1940000000034,9
PIDT-OBPQ,S182,3.93,3.93,0.86,8.97,0.509,117.0,78.0 ,1.50 ,1438,5.3,3.58,1.56,CC1=CC2=C(C3=CC(C(C4=CC=C(CCCCCC)C=C4)(C5=CC=C(CCCCCC)C=C5)C6=C7SC(C8=CN=C(C)C9=C8N=C%10C(C(C=C(CCCCCCCC)C=C%11)=C%11C%12=C%10C=C(CCCCCCCC)C=C%12)=N9)=C6)=C7C=C3C2(C%13=CC=C(CCCCCC)C=C%13)C%14=CC=C(CCCCCC)C=C%14)S1,CCCCCCCCc1ccc2c3ccc(CCCCCCCC)cc3c3nc4c(C)ncc(-c5cc6c(s5)-c5cc7c(cc5C6(c5ccc(CCCCCC)cc5)c5ccc(CCCCCC)cc5)-c5sc(C)cc5C7(c5ccc(CCCCCC)cc5)c5ccc(CCCCCC)cc5)c4nc3c2c1,106,225,1439.218000000003,12
PBDT2FBT-T4,S198,2.17,2.15,0.84,6.35,0.405,109.5,33.8 ,3.24 ,1769,5.3,3.63,1.68,CC(S1)=CC2=C1C(C3=CC=C(C4=CC=C(C5=CC=C(C6=CC=C(CC(CCCCCC)CCCC)S6)S5)S4)S3)=C(C=C(C7=C(CC(CC)CCCC)C=C(C8=C(F)C(F)=C(C9=CC(CC(CCCC)CC)=C(C)S9)C%10=NSN=C%108)S7)S%11)C%11=C2C%12=CC=C(C%13=CC=C(C%14=CC=C(C%15=CC=C(CC(CCCC)CCCCCC)S%15)S%14)S%13)S%12,CCCCCCC(CCCC)Cc1ccc(-c2ccc(-c3ccc(-c4ccc(-c5c6cc(-c7sc(-c8c(F)c(F)c(-c9cc(CC(CC)CCCC)c(C)s9)c9nsnc89)cc7CC(CC)CCCC)sc6c(-c6ccc(-c7ccc(-c8ccc(-c9ccc(CC(CCCC)CCCCCC)s9)s8)s7)s6)c6cc(C)sc56)s4)s3)s2)s1,115,225,1770.8390000000027,15
PAn-BTBT (P1),S150,2.23,2.23,0.96,4.4,0.53,185.0,57.0 ,3.24 ,1425,5.4,3.28,2.12,CC(C=C1)=CC=C1C2=C3C=C(OCCCCCCCC)C(OCCCCCCCC)=CC3=C(C4=CC=C(C5=CC=C(C6=C(OCCCCCCCC)C(OCCCCCCCC)=C(C7=CC=C(C)S7)C8=NSN=C86)S5)C=C4)C9=C2C=C(OCCCCCCCC)C(OCCCCCCCC)=C9,CCCCCCCCOc1cc2c(-c3ccc(C)cc3)c3cc(OCCCCCCCC)c(OCCCCCCCC)cc3c(-c3ccc(-c4ccc(-c5c(OCCCCCCCC)c(OCCCCCCCC)c(-c6ccc(C)s6)c6nsnc56)s4)cc3)c2cc1OCCCCCCCC,101,225,1426.1910000000037,9
PTAT-2,S324,0.37,0.37,0.77,1.0,0.46,38.6,24.1 ,1.60 ,1417,5.12,3.32,1.8,FC1=C(COOCC(CCCC)CC)SC2=C(C)SC(C3=CC(C4=C5SC(CC(CCCCCCCCCC)CCCCCCCCCCCC)=C4)=C(S3)C6=C5C=C(C7=C(C8=C9SC(CC(CCCCCCCCCC)CCCCCCCCCCCC)=C8)C=C(C)S7)C9=C6)=C21,CCCCCCCCCCCCC(CCCCCCCCCC)Cc1cc2c3cc(C)sc3c3cc4c(cc3c2s1)c1sc(-c2sc(C)c3sc(COOCC(CC)CCCC)c(F)c23)cc1c1cc(CC(CCCCCCCCCC)CCCCCCCCCCCC)sc14,96,225,1418.3870000000038,9
IsoC12,S99,4.1,4.0,0.66,11.3,0.52,125.0,65.0 ,1.90 ,1321,5.55,3.84,1.58,CC1=CC(CCCCCCCCCCCC)=C(C2=CC=C(C3=C(CCCCCCCCCCCC)C=C(C4=CC=C(/C(C(N5CC(CCCCCCCC)CCCCCC)=O)=C6C(N(CC(CCCCCCCC)CCCCCC)C7=C\6C=CC(C)=C7)=O)C5=C4)S3)S2)S1,CCCCCCCCCCCCc1cc(C)sc1-c1ccc(-c2sc(-c3ccc4c(c3)N(CC(CCCCCC)CCCCCCCC)C(=O)/C4=C3/C(=O)N(CC(CCCCCC)CCCCCCCC)c4cc(C)ccc43)cc2CCCCCCCCCCCC)s1,93,225,1322.2150000000038,5
PBDT-DTNT,S107,6.0,6.0,0.8,11.71,0.61,59.3,24.1 ,2.46 ,1517,5.19,3.26,1.58,CC(S1)=CC2=C1C(C3=CC(CCCCCCCCCC)=C(CCCCCCCCCC)S3)=C(C=C(C4=C(CCCCCC)C=C(C5=CC6=C(C=C(C7=CC(CCCCCC)=C(C)S7)C8=NSN=C86)C9=NSN=C59)S4)S%10)C%10=C2C%11=CC(CCCCCCCCCC)=C(CCCCCCCCCC)S%11,CCCCCCCCCCc1cc(-c2c3cc(-c4sc(-c5cc6c(cc(-c7cc(CCCCCC)c(C)s7)c7nsnc76)c6nsnc56)cc4CCCCCC)sc3c(-c3cc(CCCCCCCCCC)c(CCCCCCCCCC)s3)c3cc(C)sc23)sc1CCCCCCCCCC,102,226,1518.5460000000032,11
PIDT-OHBPz,S182,3.75,3.75,0.83,8.0,0.566,105.2,70.1 ,1.50 ,1437,5.27,3.31,1.69,CC1=CC2=C(C3=CC(C(C4=CC=C(CCCCCC)C=C4)(C5=CC=C(CCCCCC)C=C5)C6=C7SC(C8=CC=C(C)C9=C8N=C%10C(C(C=C(CCCCCCCC)C=C%11)=C%11C%12=C%10C=C(CCCCCCCC)C=C%12)=N9)=C6)=C7C=C3C2(C%13=CC=C(CCCCCC)C=C%13)C%14=CC=C(CCCCCC)C=C%14)S1,CCCCCCCCc1ccc2c3ccc(CCCCCCCC)cc3c3nc4c(-c5cc6c(s5)-c5cc7c(cc5C6(c5ccc(CCCCCC)cc5)c5ccc(CCCCCC)cc5)-c5sc(C)cc5C7(c5ccc(CCCCCC)cc5)c5ccc(CCCCCC)cc5)ccc(C)c4nc3c2c1,106,226,1438.230000000003,12
PIDT-OFBPz,S182,5.13,5.13,0.97,8.96,0.59,156.9,104.6 ,1.50 ,1473,5.45,3.56,1.75,CC1=CC2=C(C3=CC(C(C4=CC=C(CCCCCC)C=C4)(C5=CC=C(CCCCCC)C=C5)C6=C7SC(C8=C(F)C(F)=C(C)C9=C8N=C%10C(C(C=C(CCCCCCCC)C=C%11)=C%11C%12=C%10C=C(CCCCCCCC)C=C%12)=N9)=C6)=C7C=C3C2(C%13=CC=C(CCCCCC)C=C%13)C%14=CC=C(CCCCCC)C=C%14)S1,CCCCCCCCc1ccc2c3ccc(CCCCCCCC)cc3c3nc4c(-c5cc6c(s5)-c5cc7c(cc5C6(c5ccc(CCCCCC)cc5)c5ccc(CCCCCC)cc5)-c5sc(C)cc5C7(c5ccc(CCCCCC)cc5)c5ccc(CCCCCC)cc5)c(F)c(F)c(C)c4nc3c2c1,108,226,1474.210000000003,12
PBDT-BDTP (P1),S138,5.05,5.05,0.89,10.37,0.547,156.8,49.0 ,3.20 ,1445,5.53,2.68,1.98,O=C(C1=C2SC(C3=CC(C(N(C[C@H](CCCCCCCCCC)CCCCCCCC)C4=C5SC(C6=CC7=C(C(OC[C@@H](CC)CCCC)=C(C=C(C)S8)C8=C7OC[C@@H](CCCC)CC)S6)=C4)=O)=C5S3)=C1)N(C[C@@H](CCCCCCCCCC)CCCCCCCC)C9=C2SC(C)=C9,CCCCCCCCCC[C@@H](CCCCCCCC)Cn1c(=O)c2cc(-c3cc4c(=O)n(C[C@@H](CCCCCCCC)CCCCCCCCCC)c5cc(-c6cc7c(OC[C@H](CC)CCCC)c8sc(C)cc8c(OC[C@@H](CC)CCCC)c7s6)sc5c4s3)sc2c2sc(C)cc21,98,226,1446.382000000004,9
P(BDT-TT-BT),S78,4.93,4.93,0.69,11.34,0.63,65.6,32.8 ,2.00 ,1477,5.21,3.43,1.78,CC(S1)=CC2=C1C(OC[C@@H](CCCCCCCCCC)CCCCCCCC)=C(C=C(C3=CC(SC(C4=C(OCCCCCCCC)C(OCCCCCCCC)=C(C5=CC(SC(C)=C6)=C6S5)C7=NSN=C74)=C8)=C8S3)S9)C9=C2OC[C@H](CCCCCCCC)CCCCCCCCCC,CCCCCCCCCC[C@@H](CCCCCCCC)COc1c2cc(-c3cc4sc(-c5c(OCCCCCCCC)c(OCCCCCCCC)c(-c6cc7sc(C)cc7s6)c6nsnc56)cc4s3)sc2c(OC[C@H](CCCCCCCC)CCCCCCCCCC)c2cc(C)sc12,99,227,1478.4490000000037,9
