Nickname,bandgap(eV),c_smiles,newSMILES,Ref.No,bdt,fluorene,cpdt,tdt,others
PBT-3F,1.64,CCCCCCCCC(CCCCCC)COC(=O)c1sc2c(-c3ccc(-c4cc5c(-c6cc(F)c(CC(CC)CCCC)s6)c6sc(C)cc6c(-c6cc(F)c(CC(CC)CCCC)s6)c5s4)s3)sc(-c3ccc(C)s3)c2c1F,COC(=O)c1sc2c(sc(-c3ccc(C)s3)c2c1F)-c1ccc(s1)-c1cc2c(-c3cc(F)cs3)c3sc(cc3c(-c3cc(F)cs3)c2s1)-c1ccc(s1)-c1sc(-c2ccc(s2)-c2cc3c(-c4cc(F)cs4)c4sc(C)cc4c(-c4cc(F)cs4)c3s2)c2sc(C(=O)OC)c(F)c12,S54,1,0,0,0,0
PBDTTDTBT,1.66,CCCCCCCCOc1c(OCCCCCCCC)c(-c2ccc(-c3cc4c(-c5ccc(CC(CC)CCCC)s5)c5oc(C)cc5c(-c5ccc(CC(CC)CCCC)s5)c4o3)s2)c2nsnc2c1-c1ccc(C)s1,COc1c(OC)c(-c2ccc(s2)-c2cc3c(-c4cccs4)c4oc(cc4c(-c4cccs4)c3o2)-c2ccc(s2)-c2c(OC)c(OC)c(-c3ccc(s3)-c3cc4c(-c5cccs5)c5oc(C)cc5c(-c5cccs5)c4o3)c3nsnc23)c2nsnc2c1-c1ccc(C)s1,S62,1,0,0,0,0
PBDTTDTBO,1.69,CCCCCCCCOc1c(OCCCCCCCC)c(-c2ccc(-c3cc4c(-c5ccc(CC(CC)CCCC)s5)c5oc(C)cc5c(-c5ccc(CC(CC)CCCC)s5)c4o3)s2)c2nonc2c1-c1ccc(C)s1,COc1c(OC)c(-c2ccc(s2)-c2cc3c(-c4cccs4)c4oc(cc4c(-c4cccs4)c3o2)-c2ccc(s2)-c2c(OC)c(OC)c(-c3ccc(s3)-c3cc4c(-c5cccs5)c5oc(C)cc5c(-c5cccs5)c4o3)c3nonc23)c2nonc2c1-c1ccc(C)s1,S62,1,0,0,0,0
PBDTFBO,1.78,CCCCCCCCOc1c(OCCCCCCCC)c(-c2ccc(-c3cc4c(-c5ccc(CC(CC)CCCC)o5)c5sc(C)cc5c(-c5ccc(CC(CC)CCCC)o5)c4s3)s2)c2nonc2c1-c1ccc(C)s1,COc1c(OC)c(-c2ccc(s2)-c2cc3c(-c4ccco4)c4sc(cc4c(-c4ccco4)c3s2)-c2ccc(s2)-c2c(OC)c(OC)c(-c3ccc(s3)-c3cc4c(-c5ccco5)c5sc(C)cc5c(-c5ccco5)c4s3)c3nonc23)c2nonc2c1-c1ccc(C)s1,S70,1,0,0,0,0
PBDT?TBT,1.79,CCCCC(CC)COc1c(OCC(CC)CCCC)c(-c2ccc(-c3cc4c(-c5ccc(CC(CC)CCCC)s5)c5sc(C)cc5c(-c5ccc(CC(CC)CCCC)s5)c4s3)s2)c2nsnc2c1-c1ccc(C)s1,COc1c(OC)c(-c2ccc(s2)-c2cc3c(-c4cccs4)c4sc(cc4c(-c4cccs4)c3s2)-c2ccc(s2)-c2c(OC)c(OC)c(-c3ccc(s3)-c3cc4c(-c5cccs5)c5sc(C)cc5c(-c5cccs5)c4s3)c3nsnc23)c2nsnc2c1-c1ccc(C)s1,S82,1,0,0,0,0
PBDTSTBO,1.78,CCCCCCCCOc1c(OCCCCCCCC)c(-c2ccc(-c3cc4c(-c5ccc(CC(CC)CCCC)[se]5)c5sc(C)cc5c(-c5ccc(CC(CC)CCCC)[se]5)c4s3)s2)c2nsnc2c1-c1ccc(C)s1,COc1c(OC)c(-c2ccc(s2)-c2cc3c(-c4ccc[se]4)c4sc(cc4c(-c4ccc[se]4)c3s2)-c2ccc(s2)-c2c(OC)c(OC)c(-c3ccc(s3)-c3cc4c(-c5ccc[se]5)c5sc(C)cc5c(-c5ccc[se]5)c4s3)c3nsnc23)c2nsnc2c1-c1ccc(C)s1,S220,1,0,0,0,0
PBDTTTBO,1.69,CCCCCCCCOc1c(OCCCCCCCC)c(-c2ccc(-c3cc4c(-c5ccc(CC(CC)CCCC)s5)c5sc(C)cc5c(-c5ccc(CC(CC)CCCC)s5)c4s3)[se]2)c2nsnc2c1-c1ccc(C)[se]1,COc1c(OC)c(-c2ccc([se]2)-c2cc3c(-c4cccs4)c4sc(cc4c(-c4cccs4)c3s2)-c2ccc([se]2)-c2c(OC)c(OC)c(-c3ccc([se]3)-c3cc4c(-c5cccs5)c5sc(C)cc5c(-c5cccs5)c4s3)c3nsnc23)c2nsnc2c1-c1ccc(C)[se]1,S220,1,0,0,0,0
PBDTSSBO,1.69,CCCCCCCCOc1c(OCCCCCCCC)c(-c2ccc(-c3cc4c(-c5ccc(CC(CC)CCCC)[se]5)c5sc(C)cc5c(-c5ccc(CC(CC)CCCC)[se]5)c4s3)[se]2)c2nsnc2c1-c1ccc(C)[se]1,COc1c(OC)c(-c2ccc([se]2)-c2cc3c(-c4ccc[se]4)c4sc(cc4c(-c4ccc[se]4)c3s2)-c2ccc([se]2)-c2c(OC)c(OC)c(-c3ccc([se]3)-c3cc4c(-c5ccc[se]5)c5sc(C)cc5c(-c5ccc[se]5)c4s3)c3nsnc23)c2nsnc2c1-c1ccc(C)[se]1,S220,1,0,0,0,0
PBDTDTTT-S-T,1.59,CCCCCCCCC(CCCCCC)CS(=O)(=O)c1cc2c(-c3ccc(C)s3)sc(-c3ccc(-c4cc5c(-c6ccc(C[C@@H](CC)CCCC)s6)c6sc(C)cc6c(-c6ccc(C[C@H](CC)CCCC)s6)c5s4)s3)c2s1,Cc1ccc(s1)-c1sc(-c2ccc(s2)-c2cc3c(-c4cccs4)c4sc(cc4c(-c4cccs4)c3s2)-c2ccc(s2)-c2sc(-c3ccc(s3)-c3cc4c(-c5cccs5)c5sc(C)cc5c(-c5cccs5)c4s3)c3sc(cc23)S(C)(=O)=O)c2sc(cc12)S(C)(=O)=O,S43,1,0,0,0,0
PBDTTBO,1.78,CCCCCCCCOc1c(OCCCCCCCC)c(-c2ccc(-c3cc4c(-c5ccc(CC(CC)CCCC)s5)c5sc(C)cc5c(-c5ccc(CC(CC)CCCC)s5)c4s3)s2)c2nonc2c1-c1ccc(C)s1,COc1c(OC)c(-c2ccc(s2)-c2cc3c(-c4cccs4)c4sc(cc4c(-c4cccs4)c3s2)-c2ccc(s2)-c2c(OC)c(OC)c(-c3ccc(s3)-c3cc4c(-c5cccs5)c5sc(C)cc5c(-c5cccs5)c4s3)c3nonc23)c2nonc2c1-c1ccc(C)s1,S70,1,0,0,0,0
